line,parent_station,service_hour,comparable_observations,mean_excess_wait_seconds
Blue,place-aport,0,736,61.608695652173914
Blue,place-aport,1,256,74.498046875
Blue,place-aport,2,25,181.12
Blue,place-aport,4,1,137.0
Blue,place-aport,5,846,25.68853427895981
Blue,place-aport,6,1872,22.45299145299145
Blue,place-aport,7,1987,24.346502264720684
Blue,place-aport,8,2024,24.481719367588934
Blue,place-aport,9,1889,28.453414505029116
Blue,place-aport,10,1266,72.27330173775671
Blue,place-aport,11,1039,104.93551491819056
Blue,place-aport,12,1221,80.97911547911548
Blue,place-aport,13,1520,40.90296052631579
Blue,place-aport,14,1732,32.09930715935335
Blue,place-aport,15,1872,31.692574786324787
Blue,place-aport,16,1955,28.828900255754476
Blue,place-aport,17,1960,28.383418367346938
Blue,place-aport,18,1849,33.68685776095187
Blue,place-aport,19,1717,31.85032032615026
Blue,place-aport,20,1567,56.47160178685386
Blue,place-aport,21,1309,56.058059587471355
Blue,place-aport,22,1363,37.689288334556124
Blue,place-aport,23,1209,39.3904052936311
Blue,place-aqucl,0,814,64.88144963144963
Blue,place-aqucl,1,208,155.19951923076923
Blue,place-aqucl,2,3,501.3333333333333
Blue,place-aqucl,4,1,446.5
Blue,place-aqucl,5,836,27.205143540669855
Blue,place-aqucl,6,1879,23.610963278339543
Blue,place-aqucl,7,2010,26.224378109452736
Blue,place-aqucl,8,2012,24.809642147117295
Blue,place-aqucl,9,1931,29.68720870015536
Blue,place-aqucl,10,1271,68.32218725413061
Blue,place-aqucl,11,1064,107.640507518797
Blue,place-aqucl,12,1237,66.62287793047696
Blue,place-aqucl,13,1504,40.79421542553192
Blue,place-aqucl,14,1750,35.94314285714286
Blue,place-aqucl,15,1896,26.22626582278481
Blue,place-aqucl,16,1981,29.647652700656234
Blue,place-aqucl,17,1993,28.88158554942298
Blue,place-aqucl,18,1882,32.4750265674814
Blue,place-aqucl,19,1718,34.96245634458673
Blue,place-aqucl,20,1595,37.10971786833856
Blue,place-aqucl,21,1331,49.8572501878287
Blue,place-aqucl,22,1351,36.846780162842336
Blue,place-aqucl,23,1193,38.88977367979883
Blue,place-bmmnl,0,774,56.52325581395349
Blue,place-bmmnl,1,236,60.9978813559322
Blue,place-bmmnl,2,29,151.1551724137931
Blue,place-bmmnl,4,2,6.5
Blue,place-bmmnl,5,786,19.115139949109416
Blue,place-bmmnl,6,1856,22.076239224137932
Blue,place-bmmnl,7,1972,22.046146044624745
Blue,place-bmmnl,8,1978,23.230535894843275
Blue,place-bmmnl,9,1745,32.93667621776504
Blue,place-bmmnl,10,1112,75.67401079136691
Blue,place-bmmnl,11,982,116.47912423625255
Blue,place-bmmnl,12,1197,70.6595655806182
Blue,place-bmmnl,13,1477,39.0314827352742
Blue,place-bmmnl,14,1646,34.73025516403402
Blue,place-bmmnl,15,1869,26.419475655430713
Blue,place-bmmnl,16,1876,29.007995735607675
Blue,place-bmmnl,17,1928,28.47691908713693
Blue,place-bmmnl,18,1826,32.34063526834611
Blue,place-bmmnl,19,1677,32.05605247465713
Blue,place-bmmnl,20,1529,34.27305428384565
Blue,place-bmmnl,21,1262,64.75950871632331
Blue,place-bmmnl,22,1310,39.08969465648855
Blue,place-bmmnl,23,1149,46.043951261966924
Blue,place-bomnl,0,388,56.06056701030928
Blue,place-bomnl,1,111,114.15315315315316
Blue,place-bomnl,2,1,492.0
Blue,place-bomnl,4,9,1345.6666666666667
Blue,place-bomnl,5,387,36.24418604651162
Blue,place-bomnl,6,960,17.1453125
Blue,place-bomnl,7,971,22.167868177136974
Blue,place-bomnl,8,1003,22.956630109670986
Blue,place-bomnl,9,963,23.917445482866043
Blue,place-bomnl,10,655,67.81908396946565
Blue,place-bomnl,11,522,98.99233716475096
Blue,place-bomnl,12,606,61.88036303630363
Blue,place-bomnl,13,745,36.28456375838926
Blue,place-bomnl,14,864,31.348958333333332
Blue,place-bomnl,15,956,22.9581589958159
Blue,place-bomnl,16,979,31.580183861082737
Blue,place-bomnl,17,1001,23.225774225774227
Blue,place-bomnl,18,947,31.80411826821542
Blue,place-bomnl,19,840,35.166666666666664
Blue,place-bomnl,20,804,33.93221393034826
Blue,place-bomnl,21,643,51.11275272161742
Blue,place-bomnl,22,672,33.62872023809524
Blue,place-bomnl,23,595,36.97142857142857
Blue,place-gover,0,789,64.8212927756654
Blue,place-gover,1,211,147.01184834123222
Blue,place-gover,2,2,600.25
Blue,place-gover,4,2,614.25
Blue,place-gover,5,856,28.01927570093458
Blue,place-gover,6,1856,22.97521551724138
Blue,place-gover,7,1998,26.12762762762763
Blue,place-gover,8,2002,24.525974025974026
Blue,place-gover,9,1949,28.20779887121601
Blue,place-gover,10,1265,68.47786561264822
Blue,place-gover,11,1055,106.45734597156398
Blue,place-gover,12,1240,70.13709677419355
Blue,place-gover,13,1508,40.5026525198939
Blue,place-gover,14,1740,35.2
Blue,place-gover,15,1910,24.71151832460733
Blue,place-gover,16,1977,28.911734951947395
Blue,place-gover,17,1992,27.859939759036145
Blue,place-gover,18,1873,32.42872397223705
Blue,place-gover,19,1703,34.830593071051084
Blue,place-gover,20,1609,36.33126165320075
Blue,place-gover,21,1317,49.77904328018223
Blue,place-gover,22,1356,37.81120943952802
Blue,place-gover,23,1218,37.88382594417077
Blue,place-mvbcl,0,797,60.83249686323714
Blue,place-mvbcl,1,211,112.17298578199052
Blue,place-mvbcl,2,14,251.71428571428572
Blue,place-mvbcl,5,852,26.125
Blue,place-mvbcl,6,1885,22.410610079575598
Blue,place-mvbcl,7,1942,25.94747682801236
Blue,place-mvbcl,8,2019,24.670876671619613
Blue,place-mvbcl,9,1929,28.14307931570762
Blue,place-mvbcl,10,1252,69.40535143769968
Blue,place-mvbcl,11,1042,105.59836852207293
Blue,place-mvbcl,12,1235,68.89838056680162
Blue,place-mvbcl,13,1508,40.09316976127321
Blue,place-mvbcl,14,1748,34.275171624713956
Blue,place-mvbcl,15,1875,26.445333333333334
Blue,place-mvbcl,16,1955,29.365728900255753
Blue,place-mvbcl,17,1945,28.148329048843188
Blue,place-mvbcl,18,1882,33.10998937300744
Blue,place-mvbcl,19,1706,35.63716295427901
Blue,place-mvbcl,20,1571,49.562062380649266
Blue,place-mvbcl,21,1330,60.677067669172935
Blue,place-mvbcl,22,1364,37.5392228739003
Blue,place-mvbcl,23,1182,39.25338409475465
Blue,place-orhte,0,733,60.66643929058663
Blue,place-orhte,1,241,69.42116182572614
Blue,place-orhte,2,27,148.53703703703704
Blue,place-orhte,4,1,13.5
Blue,place-orhte,5,841,23.885850178359096
Blue,place-orhte,6,1840,22.91983695652174
Blue,place-orhte,7,1994,24.18505516549649
Blue,place-orhte,8,1985,24.07506297229219
Blue,place-orhte,9,1764,35.20323129251701
Blue,place-orhte,10,1161,91.90611541774332
Blue,place-orhte,11,984,117.10213414634147
Blue,place-orhte,12,1190,70.63067226890756
Blue,place-orhte,13,1482,39.30161943319838
Blue,place-orhte,14,1685,32.32789317507418
Blue,place-orhte,15,1851,27.12776877363587
Blue,place-orhte,16,1877,38.59483217900906
Blue,place-orhte,17,1932,31.03416149068323
Blue,place-orhte,18,1825,34.12986301369863
Blue,place-orhte,19,1674,33.29360812425328
Blue,place-orhte,20,1529,38.69228253760628
Blue,place-orhte,21,1287,100.33838383838385
Blue,place-orhte,22,1292,39.41292569659443
Blue,place-orhte,23,1190,45.91512605042017
Blue,place-rbmnl,0,750,59.07266666666667
Blue,place-rbmnl,1,238,68.47058823529412
