line,from_station,to_station,direction_id,observations
Green,place-boyls,place-armnl,0,5029
Green,place-pktrm,place-boyls,0,5028
Green,place-armnl,place-coecl,0,5026
Green,place-boyls,place-pktrm,1,5009
Green,place-coecl,place-armnl,1,5007
Green,place-armnl,place-boyls,1,4997
Green,place-pktrm,place-gover,1,4764
Green,place-gover,place-pktrm,0,4757
Green,place-kencl,place-hymnl,1,3736
Green,place-hymnl,place-kencl,0,3707
Green,place-hymnl,place-coecl,1,3687
Green,place-coecl,place-hymnl,0,3685
Green,place-north,place-haecl,0,2562
Green,place-lech,place-spmnl,0,2555
Green,place-haecl,place-north,1,2549
Green,place-haecl,place-gover,0,2547
Green,place-spmnl,place-north,0,2536
Green,place-gover,place-haecl,1,2531
Green,place-spmnl,place-lech,1,2512
Green,place-north,place-spmnl,1,2511
Red,place-jfk,place-andrw,1,2129
Red,place-andrw,place-brdwy,1,2129
Red,place-brdwy,place-sstat,1,2129
Red,place-harsq,place-portr,1,2127
Red,place-portr,place-davis,1,2127
Red,place-knncl,place-cntsq,1,2126
Red,place-cntsq,place-harsq,1,2126
Red,place-davis,place-alfcl,1,2126
Red,place-sstat,place-dwnxg,1,2124
Red,place-chmnl,place-knncl,1,2123
Red,place-dwnxg,place-pktrm,1,2123
Orange,place-state,place-dwnxg,0,2122
Orange,place-haecl,place-state,0,2122
Red,place-pktrm,place-chmnl,1,2122
Orange,place-sull,place-ccmnl,0,2122
Orange,place-north,place-haecl,0,2121
Red,place-alfcl,place-davis,0,2121
Orange,place-dwnxg,place-chncl,0,2121
Orange,place-chncl,place-tumnl,0,2121
Orange,place-ccmnl,place-north,0,2121
Red,place-davis,place-portr,0,2121
Red,place-portr,place-harsq,0,2121
Orange,place-astao,place-sull,0,2121
Red,place-harsq,place-cntsq,0,2120
Red,place-cntsq,place-knncl,0,2120
Orange,place-masta,place-rugg,0,2120
Orange,place-bbsta,place-masta,0,2120
Orange,place-welln,place-astao,0,2119
Orange,place-rcmnl,place-jaksn,0,2119
Orange,place-rugg,place-rcmnl,0,2119
Orange,place-tumnl,place-bbsta,0,2119
Red,place-chmnl,place-pktrm,0,2119
Red,place-knncl,place-chmnl,0,2119
Orange,place-mlmnl,place-ogmnl,1,2118
Orange,place-jaksn,place-sbmnl,0,2118
Orange,place-sbmnl,place-grnst,0,2117
Orange,place-haecl,place-north,1,2117
Orange,place-sull,place-astao,1,2117
Orange,place-rcmnl,place-rugg,1,2117
Orange,place-rugg,place-masta,1,2117
Orange,place-dwnxg,place-state,1,2117
Orange,place-north,place-ccmnl,1,2117
Red,place-sstat,place-brdwy,0,2117
Red,place-brdwy,place-andrw,0,2117
Red,place-andrw,place-jfk,0,2117
Orange,place-chncl,place-dwnxg,1,2117
Orange,place-tumnl,place-chncl,1,2117
Orange,place-state,place-haecl,1,2117
Orange,place-masta,place-bbsta,1,2116
Orange,place-bbsta,place-tumnl,1,2116
Red,place-dwnxg,place-sstat,0,2116
Orange,place-ccmnl,place-sull,1,2116
Orange,place-jaksn,place-rcmnl,1,2116
Orange,place-grnst,place-sbmnl,1,2116
Orange,place-astao,place-welln,1,2116
Red,place-pktrm,place-dwnxg,0,2115
Orange,place-mlmnl,place-welln,0,2115
Orange,place-sbmnl,place-jaksn,1,2115
Orange,place-forhl,place-grnst,1,2114
Orange,place-grnst,place-forhl,0,2114
Orange,place-welln,place-mlmnl,1,2114
Orange,place-ogmnl,place-mlmnl,0,2099
Blue,place-mvbcl,place-aport,1,1918
Blue,place-mvbcl,place-aqucl,0,1914
Blue,place-aqucl,place-mvbcl,1,1913
Blue,place-aqucl,place-state,0,1913
Blue,place-gover,place-bomnl,0,1913
Blue,place-gover,place-state,1,1912
Blue,place-state,place-aqucl,1,1912
Blue,place-state,place-gover,0,1910
Blue,place-orhte,place-wimnl,0,1909
Blue,place-sdmnl,place-orhte,0,1907
Blue,place-rbmnl,place-bmmnl,0,1905
Blue,place-bmmnl,place-sdmnl,0,1905
Blue,place-aport,place-mvbcl,0,1902
Blue,place-wimnl,place-aport,0,1899
Blue,place-bomnl,place-gover,1,1898
Blue,place-sdmnl,place-bmmnl,1,1898
Blue,place-orhte,place-sdmnl,1,1897
Blue,place-bmmnl,place-rbmnl,1,1897
Blue,place-wondl,place-rbmnl,0,1896
Blue,place-rbmnl,place-wondl,1,1895
Blue,place-wimnl,place-orhte,1,1797
Blue,place-aport,place-wimnl,1,1796
Green,place-gilmn,place-mgngl,1,1487
Green,place-esomr,place-gilmn,1,1484
Green,place-mgngl,place-balsq,1,1484
Green,place-balsq,place-mdftf,1,1437
Green,place-mfa,place-lngmd,0,1345
Green,place-lngmd,place-brmnl,0,1345
Green,place-gilmn,place-esomr,0,1341
Green,place-nuniv,place-mfa,0,1341
Green,place-lngmd,place-mfa,1,1337
Green,place-mfa,place-nuniv,1,1337
Green,place-prmnl,place-nuniv,0,1335
Green,place-esomr,place-lech,0,1328
Green,place-mgngl,place-gilmn,0,1328
Green,place-lech,place-esomr,1,1327
Green,place-balsq,place-mgngl,0,1323
Green,place-coecl,place-prmnl,0,1322
Green,place-kntst,place-stpul,0,1321
Green,place-cool,place-sumav,0,1320
Green,place-hwsst,place-kntst,0,1320
Green,place-bcnwa,place-denrd,0,1319
Green,place-bndhl,place-fbkst,0,1319
Green,place-sumav,place-bndhl,0,1319
Green,place-stpul,place-cool,0,1319
Green,place-fbkst,place-bcnwa,0,1318
Green,place-smary,place-hwsst,0,1318
Green,place-denrd,place-clmnl,0,1317
Green,place-stpul,place-kntst,1,1299
Green,place-fenwd,place-mispk,0,1299
Green,place-cool,place-stpul,1,1299
Green,place-nuniv,place-prmnl,1,1299
Green,place-hwsst,place-smary,1,1298
Green,place-brkhl,place-bvmnl,1,1298
Green,place-rvrwy,place-bckhl,0,1298
Green,place-mispk,place-rvrwy,0,1298
Green,place-bcnwa,place-fbkst,1,1296
Green,place-bckhl,place-rvrwy,1,1296
Green,place-kntst,place-hwsst,1,1296
Green,place-brmnl,place-fenwd,0,1295
Green,place-sumav,place-cool,1,1295
Green,place-bvmnl,place-longw,1,1295
Green,place-longw,place-fenwy,1,1294
Green,place-bndhl,place-sumav,1,1294
Green,place-smary,place-kencl,1,1293
Green,place-brmnl,place-lngmd,1,1293
Green,place-fbkst,place-bndhl,1,1292
Green,place-rvrwy,place-mispk,1,1292
Green,place-fenwd,place-brmnl,1,1292
Green,place-prmnl,place-coecl,1,1291
Green,place-mispk,place-fenwd,1,1290
Green,place-mdftf,place-balsq,0,1285
Green,place-bcnfd,place-brkhl,1,1285
Green,place-sumav,place-fbkst,0,1282
Green,place-bcnwa,place-tapst,0,1282
Green,place-engav,place-denrd,1,1282
Green,place-tapst,place-denrd,0,1281
Green,place-kencl,place-smary,0,1279
Green,place-rsmnl,place-bcnfd,1,1276
Green,place-fenwy,place-kencl,1,1274
Green,place-denrd,place-engav,0,1270
Green,place-engav,place-clmnl,0,1270
Green,place-bvmnl,place-brkhl,0,1270
Green,place-longw,place-bvmnl,0,1269
Green,place-brkhl,place-bcnfd,0,1269
Green,place-cool,place-bndhl,0,1267
Green,place-bcnfd,place-rsmnl,0,1266
Green,place-chhil,place-rsmnl,1,1264
Green,place-newtn,place-eliot,0,1263
Green,place-newto,place-newtn,0,1262
Green,place-eliot,place-waban,0,1262
Green,place-waban,place-woodl,0,1262
Green,place-river,place-woodl,1,1260
Green,place-chhil,place-newto,0,1257
Green,place-fenwy,place-longw,0,1257
Green,place-newto,place-chhil,1,1256
Green,place-newtn,place-newto,1,1251
Green,place-eliot,place-newtn,1,1249
Green,place-fbkst,place-sumav,1,1247
Green,place-waban,place-eliot,1,1239
Green,place-tapst,place-bcnwa,1,1238
Green,place-rsmnl,place-chhil,0,1237
Mattapan,place-cenav,place-valrd,0,1236
Mattapan,place-miltt,place-cenav,0,1236
Mattapan,place-butlr,place-miltt,0,1236
Mattapan,place-cedgr,place-butlr,0,1236
Mattapan,place-valrd,place-capst,0,1234
Green,place-denrd,place-tapst,1,1232
Green,place-woodl,place-waban,1,1228
Green,place-lake,place-sougr,1,1222
Green,place-bucen,place-buest,1,1213
Green,place-amory,place-bucen,1,1213
Green,place-buest,place-bland,1,1213
Green,place-babck,place-amory,1,1212
Green,place-wascm,place-wrnst,1,1211
Green,place-brico,place-babck,1,1211
Green,place-wrnst,place-alsgr,1,1211
Green,place-woodl,place-river,0,1211
Green,place-grigg,place-harvd,1,1210
Green,place-hsmnl,place-bckhl,1,1210
Green,place-alsgr,place-grigg,1,1210
Green,place-sthld,place-wascm,1,1209
Green,place-harvd,place-brico,1,1209
Green,place-wascm,place-sthld,0,1207
Green,place-sougr,place-lake,0,1207
Green,place-chswk,place-chill,0,1206
Green,place-chswk,place-sthld,1,1206
Green,place-sthld,place-chswk,0,1206
Green,place-wrnst,place-wascm,0,1205
Green,place-grigg,place-alsgr,0,1205
Green,place-brico,place-harvd,0,1205
Green,place-harvd,place-grigg,0,1204
Green,place-alsgr,place-wrnst,0,1204
Green,place-amory,place-babck,0,1204
Green,place-bucen,place-amory,0,1204
Green,place-buest,place-bucen,0,1204
Green,place-chill,place-sougr,0,1204
Green,place-chill,place-chswk,1,1204
Green,place-babck,place-brico,0,1203
Green,place-bland,place-kencl,1,1203
Mattapan,place-valrd,place-cenav,1,1202
Mattapan,place-capst,place-valrd,1,1202
Green,place-bland,place-buest,0,1201
Mattapan,place-miltt,place-butlr,1,1200
Green,place-sougr,place-chill,1,1199
Mattapan,place-cenav,place-miltt,1,1198
Mattapan,place-butlr,place-cedgr,1,1197
Green,place-kencl,place-bland,0,1191
Green,place-kencl,place-fenwy,0,1182
Mattapan,place-asmnl,place-cedgr,0,1178
Mattapan,place-capst,place-matt,0,1174
Mattapan,place-cedgr,place-asmnl,1,1170
Green,place-unsqu,place-lech,0,1140
Mattapan,place-matt,place-capst,1,1122
Red,place-qnctr,place-wlsta,1,1112
Red,place-wlsta,place-nqncy,1,1111
Red,place-qamnl,place-qnctr,1,1111
Red,place-nqncy,place-jfk,1,1106
Red,place-jfk,place-nqncy,0,1101
Red,place-nqncy,place-wlsta,0,1101
Red,place-wlsta,place-qnctr,0,1101
Red,place-qnctr,place-qamnl,0,1099
Red,place-qamnl,place-brntn,0,1096
Green,place-bckhl,place-hsmnl,0,1093
Red,place-brntn,place-qamnl,1,1074
Red,place-shmnl,place-jfk,1,1069
Red,place-smmnl,place-fldcr,1,1067
Red,place-asmnl,place-smmnl,1,1067
Red,place-fldcr,place-shmnl,1,1066
Red,place-fldcr,place-smmnl,0,1061
Red,place-jfk,place-shmnl,0,1060
Red,place-shmnl,place-fldcr,0,1060
Red,place-smmnl,place-asmnl,0,1060
Green,place-lech,place-unsqu,1,961
Green,place-engav,place-tapst,1,747
Blue,place-aport,place-orhte,1,702
Green,place-clmnl,place-engav,1,560
Green,place-denrd,place-bcnwa,1,473
Green,place-nuniv,place-symcl,1,220
Green,place-symcl,place-prmnl,1,218
Green,place-symcl,place-nuniv,0,216
Green,place-prmnl,place-symcl,0,215
Green,place-hsmnl,place-mdftf,0,203
Green,place-tapst,place-engav,0,177
Mattapan,place-matt,place-cedgr,0,66
Mattapan,place-asmnl,place-matt,0,65
Mattapan,place-matt,place-asmnl,1,61
Mattapan,place-asmnl,place-capst,1,60
Green,place-kencl,place-coecl,1,58
Green,place-armnl,place-pktrm,1,55
Green,place-river,place-fenwy,0,48
Green,place-kencl,place-river,0,48
Green,place-mdftf,place-bckhl,1,44
Green,place-hymnl,place-bland,0,41
Green,place-nuniv,place-coecl,1,32
Green,place-pktrm,place-north,1,31
Green,place-unsqu,place-river,1,30
Green,place-bndhl,place-cool,1,26
Green,place-lake,place-chill,1,24
Green,place-mgngl,place-esomr,0,23
Green,place-spmnl,place-unsqu,1,21
Green,place-river,place-waban,1,20
Green,place-mgngl,place-mdftf,1,19
Green,place-north,place-gover,0,19
Green,place-hymnl,place-armnl,1,18
Green,place-haecl,place-boyls,0,18
Green,place-coecl,place-kencl,0,17
Green,place-kencl,place-engav,0,17
Green,place-engav,place-smary,0,17
Green,place-mdftf,place-mgngl,0,17
Green,place-bcnfd,place-kencl,1,16
Green,place-lech,place-north,0,16
Green,place-hymnl,place-smary,0,16
Red,place-pktrm,place-sstat,0,16
Green,place-lngmd,place-fenwd,0,16
Green,place-esomr,place-mgngl,1,16
Green,place-fenwd,place-rvrwy,0,15
Green,place-hymnl,place-longw,0,15
Green,place-gover,place-boyls,0,15
Green,place-rvrwy,place-fenwd,1,15
Green,place-fenwd,place-lngmd,1,15
Green,place-unsqu,place-spmnl,0,14
Green,place-lake,place-gover,0,13
Green,place-hymnl,place-boyls,1,13
Green,place-spmnl,place-esomr,1,13
Green,place-haecl,place-lech,1,13
Green,place-rsmnl,place-brkhl,1,13
Green,place-mdftf,place-gilmn,0,13
Green,place-hymnl,place-prmnl,0,13
Mattapan,place-matt,place-valrd,1,13
Green,place-bland,place-hymnl,1,13
Green,place-brmnl,place-mispk,0,13
Green,place-boyls,place-coecl,0,12
Green,place-mdftf,place-esomr,0,12
Green,place-bndhl,place-bcnwa,0,12
Green,place-river,place-eliot,1,12
Green,place-boyls,place-gover,1,12
Green,place-bucen,place-bland,1,11
Green,place-pktrm,place-armnl,0,11
Green,place-brmnl,place-mfa,1,11
Green,place-mfa,place-brmnl,0,11
Green,place-armnl,place-hymnl,0,11
Green,place-coecl,place-boyls,1,10
Green,place-lngmd,place-nuniv,1,10
Mattapan,place-matt,place-cenav,1,10
Green,place-hsmnl,place-balsq,0,10
Red,place-pktrm,place-knncl,1,9
Green,place-fenwy,place-bvmnl,0,9
Green,place-hymnl,place-pktrm,1,9
Green,place-river,place-newtn,1,9
Red,place-harsq,place-alfcl,1,9
Green,place-unsqu,place-north,1,9
Green,place-gover,place-north,1,9
Green,place-hsmnl,place-rvrwy,1,9
Green,place-balsq,place-gilmn,0,9
Green,place-haecl,place-pktrm,0,9
Green,place-longw,place-kencl,1,9
Blue,place-wimnl,place-mvbcl,0,9
Green,place-north,place-mdftf,0,9
Green,place-haecl,place-spmnl,1,9
Green,place-mdftf,place-lech,0,8
Green,place-bvmnl,place-bcnfd,0,8
Green,place-fenwy,place-hymnl,1,8
Green,place-mispk,place-bckhl,0,8
Red,place-dwnxg,place-chmnl,1,8
Green,place-prmnl,place-lech,1,8
Red,place-sstat,place-pktrm,1,8
Green,place-chill,place-lake,0,8
Green,place-brkhl,place-longw,1,8
Green,place-lech,place-mdftf,0,8
Green,place-hwsst,place-cool,0,8
Green,place-balsq,place-lech,0,7
Green,place-mfa,place-prmnl,1,7
Green,place-engav,place-bcnfd,1,7
Green,place-bcnwa,place-sumav,1,7
Green,place-kencl,place-boyls,1,7
Green,place-pktrm,place-haecl,1,7
Green,place-kencl,place-lech,1,7
Green,place-lake,place-wascm,1,7
Green,place-armnl,place-prmnl,0,7
Mattapan,place-matt,place-butlr,1,7
Green,place-chhil,place-bcnfd,1,7
Green,place-esomr,place-north,0,7
Green,place-esomr,place-spmnl,0,6
