line,to_station,service_hour,comparable_observations,mean_excess_travel_seconds
Blue,place-aport,0,737,0.8778833107191316
Blue,place-aport,1,258,0.5697674418604651
Blue,place-aport,2,24,1.2916666666666667
Blue,place-aport,4,2,8.5
Blue,place-aport,5,1006,0.694831013916501
Blue,place-aport,6,1908,0.9287211740041929
Blue,place-aport,7,1992,4.367469879518072
Blue,place-aport,8,2033,1.322675848499754
Blue,place-aport,9,1897,1.0943595150237218
Blue,place-aport,10,1271,3.139260424862313
Blue,place-aport,11,1042,2.0998080614203456
Blue,place-aport,12,1227,1.5052974735126325
Blue,place-aport,13,1515,0.9696369636963696
Blue,place-aport,14,1729,0.4962406015037593
Blue,place-aport,15,1870,0.5080213903743316
Blue,place-aport,16,1944,1.0679012345679013
Blue,place-aport,17,1956,1.31799591002045
Blue,place-aport,18,1840,1.576086956521739
Blue,place-aport,19,1716,1.2196969696969697
Blue,place-aport,20,1563,0.9948816378758797
Blue,place-aport,21,1314,0.6270928462709284
Blue,place-aport,22,1367,0.5683979517190929
Blue,place-aport,23,1211,0.2295623451692816
Blue,place-aqucl,0,817,0.401468788249694
Blue,place-aqucl,1,208,0.7884615384615384
Blue,place-aqucl,2,3,0.0
Blue,place-aqucl,4,2,0.0
Blue,place-aqucl,5,993,1.0050352467270895
Blue,place-aqucl,6,1910,0.21727748691099477
Blue,place-aqucl,7,2017,0.06147744174516609
Blue,place-aqucl,8,2019,0.4611193660227836
Blue,place-aqucl,9,1934,0.25904860392967943
Blue,place-aqucl,10,1273,0.8955223880597015
Blue,place-aqucl,11,1066,0.5103189493433395
Blue,place-aqucl,12,1237,0.35084882780921584
Blue,place-aqucl,13,1507,0.06038487060384871
Blue,place-aqucl,14,1754,0.4657924743443558
Blue,place-aqucl,15,1898,0.2829293993677555
Blue,place-aqucl,16,1985,0.6896725440806045
Blue,place-aqucl,17,1999,0.5352676338169085
Blue,place-aqucl,18,1887,0.37201907790143085
Blue,place-aqucl,19,1722,0.2601626016260163
Blue,place-aqucl,20,1600,0.27
Blue,place-aqucl,21,1338,0.19955156950672645
Blue,place-aqucl,22,1356,0.2809734513274337
Blue,place-aqucl,23,1200,0.5366666666666666
Blue,place-bmmnl,0,776,1.3028350515463918
Blue,place-bmmnl,1,237,0.3037974683544304
Blue,place-bmmnl,2,29,0.0
Blue,place-bmmnl,4,5,0.0
Blue,place-bmmnl,5,935,0.3058823529411765
Blue,place-bmmnl,6,1895,0.8100263852242744
Blue,place-bmmnl,7,1979,1.1480545730166751
Blue,place-bmmnl,8,1984,2.589717741935484
Blue,place-bmmnl,9,1752,1.629566210045662
Blue,place-bmmnl,10,1123,2.819234194122885
Blue,place-bmmnl,11,986,8.224137931034482
Blue,place-bmmnl,12,1208,3.7839403973509933
Blue,place-bmmnl,13,1478,1.9939106901217862
Blue,place-bmmnl,14,1650,0.826060606060606
Blue,place-bmmnl,15,1876,1.171641791044776
Blue,place-bmmnl,16,1882,0.5738575982996812
Blue,place-bmmnl,17,1933,0.8256595964821521
Blue,place-bmmnl,18,1836,1.05119825708061
Blue,place-bmmnl,19,1684,0.7713776722090261
Blue,place-bmmnl,20,1540,0.6909090909090909
Blue,place-bmmnl,21,1268,0.9913249211356467
Blue,place-bmmnl,22,1312,0.32469512195121947
Blue,place-bmmnl,23,1153,0.5550737207285342
Blue,place-bomnl,0,407,1.0982800982800982
Blue,place-bomnl,1,99,2.1212121212121207
Blue,place-bomnl,2,1,0.0
Blue,place-bomnl,4,13,20.076923076923077
Blue,place-bomnl,5,464,5.135775862068965
Blue,place-bomnl,6,954,2.758909853249476
Blue,place-bomnl,7,1004,1.157370517928287
Blue,place-bomnl,8,1007,1.1926514399205561
Blue,place-bomnl,9,963,3.3136033229491173
Blue,place-bomnl,10,636,4.303459119496855
Blue,place-bomnl,11,529,0.8298676748582231
Blue,place-bomnl,12,631,1.2503961965134707
Blue,place-bomnl,13,752,1.2220744680851063
Blue,place-bomnl,14,878,1.4954441913439636
Blue,place-bomnl,15,959,1.0969760166840459
Blue,place-bomnl,16,986,3.2008113590263694
Blue,place-bomnl,17,995,2.755778894472362
Blue,place-bomnl,18,953,3.013641133263379
Blue,place-bomnl,19,852,4.607981220657277
Blue,place-bomnl,20,813,10.785977859778598
Blue,place-bomnl,21,678,2.8023598820059
Blue,place-bomnl,22,677,1.4490398818316101
Blue,place-bomnl,23,611,0.7430441898527005
Blue,place-gover,0,788,0.03426395939086293
Blue,place-gover,1,212,0.0
Blue,place-gover,2,2,0.0
Blue,place-gover,4,23,0.5652173913043478
Blue,place-gover,5,954,4.448637316561845
Blue,place-gover,6,1886,0.061505832449628844
Blue,place-gover,7,1999,0.03001500750375187
Blue,place-gover,8,1999,0.14057028514257128
Blue,place-gover,9,1952,0.2177254098360656
Blue,place-gover,10,1263,0.20744259699129058
Blue,place-gover,11,1059,0.1671388101983003
Blue,place-gover,12,1239,0.3083131557707829
Blue,place-gover,13,1511,0.021178027796161472
Blue,place-gover,14,1739,0.3145485911443358
Blue,place-gover,15,1913,0.14323052796654467
Blue,place-gover,16,1972,0.21044624746450302
Blue,place-gover,17,1997,0.32198297446169255
Blue,place-gover,18,1879,0.30494944119212347
Blue,place-gover,19,1708,0.21194379391100704
Blue,place-gover,20,1607,0.3627878033602987
Blue,place-gover,21,1317,0.34092634776006076
Blue,place-gover,22,1357,0.3596168017686072
Blue,place-gover,23,1220,0.029508196721311476
Blue,place-mvbcl,0,803,1.0323785803237857
Blue,place-mvbcl,1,211,3.3507109004739335
Blue,place-mvbcl,2,15,0.0
Blue,place-mvbcl,4,1,0.0
Blue,place-mvbcl,5,1015,1.1231527093596059
Blue,place-mvbcl,6,1927,0.753502854177478
Blue,place-mvbcl,7,1955,0.8352941176470589
Blue,place-mvbcl,8,2039,0.7238842569887199
Blue,place-mvbcl,9,1944,1.3492798353909465
Blue,place-mvbcl,10,1264,2.3449367088607596
Blue,place-mvbcl,11,1057,0.6792809839167455
Blue,place-mvbcl,12,1245,2.376706827309237
Blue,place-mvbcl,13,1515,0.38613861386138615
Blue,place-mvbcl,14,1756,0.4886104783599089
Blue,place-mvbcl,15,1887,0.2342342342342342
Blue,place-mvbcl,16,1972,0.4964503042596349
Blue,place-mvbcl,17,1964,0.6939918533604889
Blue,place-mvbcl,18,1906,0.710912906610703
Blue,place-mvbcl,19,1722,0.3588850174216028
Blue,place-mvbcl,20,1589,0.7193203272498426
Blue,place-mvbcl,21,1336,0.5583832335329342
Blue,place-mvbcl,22,1368,0.049707602339181256
Blue,place-mvbcl,23,1185,0.48185654008438816
Blue,place-orhte,0,737,10.595658073270014
Blue,place-orhte,1,241,12.643153526970954
Blue,place-orhte,2,29,442.0689655172414
Blue,place-orhte,4,5,135.8
Blue,place-orhte,5,921,10.0271444082519
Blue,place-orhte,6,1877,6.912626531699521
Blue,place-orhte,7,2012,5.185884691848907
Blue,place-orhte,8,1999,6.569784892446223
Blue,place-orhte,9,1856,13.013469827586206
Blue,place-orhte,10,1280,28.6
Blue,place-orhte,11,1031,18.459747817652765
Blue,place-orhte,12,1209,23.210918114143922
Blue,place-orhte,13,1496,12.608957219251337
Blue,place-orhte,14,1697,5.040659988214496
Blue,place-orhte,15,1867,8.471880021424745
Blue,place-orhte,16,1899,9.629805160610848
Blue,place-orhte,17,1949,5.953309389430477
Blue,place-orhte,18,1847,8.969139144558744
Blue,place-orhte,19,1696,10.858490566037736
Blue,place-orhte,20,1545,7.264724919093851
Blue,place-orhte,21,1305,9.868199233716474
Blue,place-orhte,22,1301,5.215987701767871
Blue,place-orhte,23,1202,11.307820299500833
Blue,place-rbmnl,0,761,0.7897503285151117
Blue,place-rbmnl,1,238,0.49159663865546216
Blue,place-rbmnl,2,29,8.620689655172415
Blue,place-rbmnl,4,4,0.0
Blue,place-rbmnl,5,924,1.6277056277056277
Blue,place-rbmnl,6,1889,4.60772895712017
Blue,place-rbmnl,7,1956,2.716768916155419
Blue,place-rbmnl,8,1993,2.833918715504265
Blue,place-rbmnl,9,1731,3.46158290005777
Blue,place-rbmnl,10,1127,5.384205856255545
Blue,place-rbmnl,11,972,8.324074074074074
Blue,place-rbmnl,12,1194,6.16499162479062
Blue,place-rbmnl,13,1463,2.159261790840738
Blue,place-rbmnl,14,1684,1.327790973871734
Blue,place-rbmnl,15,1822,2.9182217343578487
Blue,place-rbmnl,16,1883,2.8114710568242165
Blue,place-rbmnl,17,1909,3.3221581980094292
Blue,place-rbmnl,18,1808,5.249446902654867
Blue,place-rbmnl,19,1700,6.761176470588235
Blue,place-rbmnl,20,1551,1.945196647324307
Blue,place-rbmnl,21,1250,1.2072
Blue,place-rbmnl,22,1295,0.938996138996139
Blue,place-rbmnl,23,1156,0.8918685121107266
Blue,place-sdmnl,0,773,9.35575679172057
Blue,place-sdmnl,1,236,12.48728813559322
Blue,place-sdmnl,2,29,14.241379310344827
Blue,place-sdmnl,4,2,40.0
Blue,place-sdmnl,5,920,6.8826086956521735
Blue,place-sdmnl,6,1900,10.443684210526316
Blue,place-sdmnl,7,1961,10.194288628250892
Blue,place-sdmnl,8,1991,10.291310899045707
Blue,place-sdmnl,9,1778,7.589988751406074
Blue,place-sdmnl,10,1147,3.4795117698343505
Blue,place-sdmnl,11,991,7.9394550958627645
Blue,place-sdmnl,12,1189,2.6341463414634148
Blue,place-sdmnl,13,1490,1.6033557046979865
Blue,place-sdmnl,14,1655,0.9377643504531722
Blue,place-sdmnl,15,1864,0.776824034334764
Blue,place-sdmnl,16,1876,4.6918976545842215
Blue,place-sdmnl,17,1923,0.7233489339573583
Blue,place-sdmnl,18,1824,2.5241228070175437
Blue,place-sdmnl,19,1679,2.099463966646814
Blue,place-sdmnl,20,1541,1.309539260220636
Blue,place-sdmnl,21,1274,1.3312401883830456
Blue,place-sdmnl,22,1315,13.197718631178708
Blue,place-sdmnl,23,1151,9.612510860121633
Blue,place-state,0,801,0.4132334581772784
Blue,place-state,1,211,0.004739336492890987
Blue,place-state,2,2,0.0
Blue,place-state,4,2,0.0
Blue,place-state,5,1018,0.24066797642436152
Blue,place-state,6,1891,0.1369645690111052
Blue,place-state,7,1973,0.13786112519006585
Blue,place-state,8,2043,0.02398433675966715
Blue,place-state,9,1933,0.23642007242628035
Blue,place-state,10,1269,0.16863672182821118
Blue,place-state,11,1065,0.17464788732394365
Blue,place-state,12,1245,0.21365461847389558
Blue,place-state,13,1499,0.15410273515677123
Blue,place-state,14,1768,0.13065610859728508
Blue,place-state,15,1900,0.09842105263157895
Blue,place-state,16,1978,0.08897876643073811
Blue,place-state,17,1985,0.1596977329974811
Blue,place-state,18,1888,0.20180084745762708
Blue,place-state,19,1716,0.0198135198135198
Blue,place-state,20,1589,0.07614852108244179
Blue,place-state,21,1324,0.06268882175226585
Blue,place-state,22,1353,0.02143385070214338
Blue,place-state,23,1220,0.06311475409836063
Blue,place-wimnl,0,716,1.026536312849162
Blue,place-wimnl,1,257,34.673151750972764
Blue,place-wimnl,2,29,0.5172413793103449
Blue,place-wimnl,4,2,41.0
Blue,place-wimnl,5,993,1.1379657603222557
Blue,place-wimnl,6,1858,0.6404736275565124
Blue,place-wimnl,7,1964,1.0392057026476578
Blue,place-wimnl,8,1973,2.2382159148504814
Blue,place-wimnl,9,1870,3.1385026737967916
Blue,place-wimnl,10,1235,19.472064777327937
Blue,place-wimnl,11,1037,14.445515911282547
Blue,place-wimnl,12,1200,8.100833333333334
Blue,place-wimnl,13,1515,2.7933993399339934
Blue,place-wimnl,14,1653,1.4131881427707198
Blue,place-wimnl,15,1869,1.8715890850722312
Blue,place-wimnl,16,1891,2.911158117398202
Blue,place-wimnl,17,1911,2.7425431711145998
Blue,place-wimnl,18,1804,2.7006651884700665
Blue,place-wimnl,19,1671,1.7743865948533812
Blue,place-wimnl,20,1550,1.1129032258064515
Blue,place-wimnl,21,1296,1.3580246913580247
Blue,place-wimnl,22,1327,0.7889977392614921
Blue,place-wimnl,23,1204,0.8197674418604651
Blue,place-wondl,0,492,26.09552845528455
Blue,place-wondl,1,194,24.65463917525773
Blue,place-wondl,2,31,79.83870967741936
Blue,place-wondl,4,4,0.0
Blue,place-wondl,5,219,18.410958904109588
Blue,place-wondl,6,904,20.786504424778762
Blue,place-wondl,7,974,13.706365503080082
Blue,place-wondl,8,994,12.754527162977867
Blue,place-wondl,9,902,14.598669623059868
Blue,place-wondl,10,563,17.127886323268207
Blue,place-wondl,11,500,15.953999999999999
Blue,place-wondl,12,588,3.9676870748299318
Blue,place-wondl,13,671,9.068554396423249
Blue,place-wondl,14,837,8.19115890083632
Blue,place-wondl,15,869,23.669735327963178
Blue,place-wondl,16,944,21.8125
Blue,place-wondl,17,956,21.869246861924687
