service_date,line,distinct_service_impact_alerts
2026-06-22,Blue,1
2026-06-23,Blue,1
2026-06-23,Green,3
2026-06-23,Red,2
2026-06-24,Blue,1
2026-06-24,Green,1
2026-06-24,Red,2
2026-06-25,Blue,3
2026-06-25,Green,1
2026-06-25,Orange,1
2026-06-26,Blue,3
2026-06-26,Green,3
2026-06-26,Red,2
2026-06-27,Blue,1
2026-06-27,Red,1
2026-06-28,Blue,1
2026-06-28,Green,3
2026-06-28,Red,1
2026-06-29,Blue,4
2026-06-29,Mattapan,1
2026-06-29,Orange,1
2026-06-29,Red,2
2026-06-30,Blue,1
2026-06-30,Green,3
2026-06-30,Orange,1
2026-07-01,Blue,5
2026-07-01,Orange,1
2026-07-01,Red,1
2026-07-02,Blue,4
2026-07-02,Green,2
2026-07-02,Red,1
2026-07-03,Blue,1
2026-07-03,Green,2
2026-07-03,Orange,1
2026-07-03,Red,1
2026-07-04,Orange,1
2026-07-05,Red,7
2026-07-06,Blue,2
2026-07-06,Green,2
2026-07-06,Red,1
2026-07-07,Blue,1
2026-07-07,Green,4
2026-07-08,Blue,1
2026-07-08,Green,3
2026-07-09,Blue,3
2026-07-09,Green,1
2026-07-09,Orange,1
2026-07-09,Red,1
2026-07-10,Blue,2
2026-07-10,Green,3
2026-07-10,Mattapan,1
2026-07-10,Orange,1
2026-07-10,Red,1
2026-07-11,Blue,1
2026-07-11,Green,1
2026-07-11,Red,1
2026-07-12,Blue,1
2026-07-12,Green,4
2026-07-12,Orange,1
2026-07-12,Red,3
2026-07-13,Blue,2
2026-07-13,Green,2
2026-07-13,Red,4
2026-07-14,Blue,4
2026-07-14,Green,1
2026-07-14,Red,3
2026-07-15,Blue,1
2026-07-15,Green,2
2026-07-15,Orange,1
2026-07-15,Red,2
2026-07-16,Blue,1
2026-07-16,Orange,1
2026-07-16,Red,3
2026-07-17,Blue,1
2026-07-17,Green,2
2026-07-17,Orange,3
2026-07-17,Red,2
2026-07-18,Green,1
2026-07-18,Mattapan,2
2026-07-18,Orange,4
2026-07-18,Red,1
2026-07-19,Blue,1
2026-07-19,Green,1
2026-07-19,Mattapan,1
2026-07-19,Red,4
2026-07-20,Green,2
2026-07-20,Red,4
2026-07-22,Blue,1
2026-07-22,Green,1
2026-07-22,Orange,2
2026-07-22,Red,3
2026-07-23,Blue,3
2026-07-23,Orange,1
2026-07-24,Blue,1
2026-07-24,Green,2
2026-07-24,Red,1
2026-07-25,Blue,4
2026-07-26,Blue,2
2026-07-26,Orange,2
2026-07-27,Blue,1
2026-07-27,Green,3
2026-07-27,Mattapan,1
2026-07-27,Orange,1
2026-07-28,Blue,1
2026-07-28,Orange,1
2026-07-28,Red,1
2026-07-29,Blue,1
2026-07-29,Orange,1
2026-07-29,Red,1
2026-07-30,Blue,3
2026-07-30,Green,1
2026-07-30,Orange,3
2026-07-30,Red,4
2026-07-31,Blue,2
2026-07-31,Red,2
2026-08-01,Green,1
2026-08-02,Blue,2
2026-08-02,Green,2
2026-08-02,Red,2
2026-08-03,Blue,3
2026-08-03,Mattapan,1
2026-08-03,Red,4
2026-08-04,Blue,1
2026-08-04,Green,3
2026-08-04,Orange,1
2026-08-04,Red,2
2026-08-05,Blue,1
2026-08-05,Green,3
2026-08-05,Orange,1
2026-08-05,Red,3
2026-08-06,Blue,2
2026-08-06,Green,2
2026-08-06,Orange,1
2026-08-06,Red,1
2026-08-07,Blue,2
2026-08-07,Green,1
2026-08-07,Orange,2
2026-08-07,Red,2
2026-08-08,Blue,2
2026-08-08,Red,1
2026-08-09,Blue,1
2026-08-09,Green,2
2026-08-10,Blue,1
2026-08-10,Mattapan,1
2026-08-10,Red,6
2026-08-11,Blue,2
2026-08-11,Orange,1
2026-08-11,Red,6
2026-08-12,Blue,2
2026-08-12,Red,4
2026-08-13,Blue,2
2026-08-13,Green,1
2026-08-13,Red,2
2026-08-14,Blue,2
2026-08-14,Green,1
2026-08-14,Orange,1
2026-08-14,Red,4
2026-08-15,Blue,1
2026-08-15,Orange,1
2026-08-15,Red,1
2026-08-16,Blue,2
2026-08-16,Red,1
2026-08-17,Blue,2
2026-08-17,Green,1
2026-08-17,Orange,2
2026-08-17,Red,3
2026-08-18,Blue,2
2026-08-18,Green,4
2026-08-18,Orange,5
2026-08-18,Red,5
2026-08-19,Blue,3
2026-08-19,Green,2
2026-08-19,Mattapan,1
2026-08-19,Orange,1
2026-08-19,Red,1
2026-08-20,Blue,1
2026-08-20,Red,2
2026-08-21,Blue,2
2026-08-22,Blue,1
2026-08-22,Green,2
2026-08-22,Orange,1
2026-08-22,Red,1
2026-08-23,Green,1
2026-08-23,Red,2
2026-08-24,Blue,1
2026-08-24,Green,2
2026-08-24,Mattapan,1
2026-08-24,Orange,1
2026-08-24,Red,2
2026-08-25,Blue,4
2026-08-25,Green,1
2026-08-25,Orange,2
2026-08-26,Blue,1
2026-08-26,Green,1
2026-08-26,Red,2
2026-08-27,Blue,2
2026-08-27,Green,1
2026-08-28,Blue,2
2026-08-29,Blue,1
2026-08-29,Orange,3
2026-08-29,Red,3
2026-08-30,Green,1
2026-08-31,Blue,1
2026-08-31,Mattapan,1
2026-08-31,Orange,1
2026-09-01,Blue,2
2026-09-01,Green,1
2026-09-01,Orange,1
2026-09-02,Blue,1
2026-09-02,Orange,1
