service_date,line,comparable_stop_events,median_schedule_difference_seconds,mean_schedule_difference_seconds,share_late_over_5_minutes,share_within_5_minutes
2026-06-22,Blue,3115,130.0,240.6626003210273,0.3142857142857143,0.6568218298555377
2026-06-22,Green,21785,39.0,30.8490704613266,0.14119807206793666,0.7524902455818223
2026-06-22,Mattapan,1515,-69.0,-67.06336633663366,0.0039603960396039604,0.9808580858085808
2026-06-22,Orange,8006,27.0,17.951161628778415,0.013489882588058956,0.928178865850612
2026-06-22,Red,6071,200.0,219.89869873167518,0.36419041344094877,0.5962773842859496
2026-06-23,Blue,3821,18.0,70.5121695891128,0.06621303323737242,0.9227950798220361
2026-06-23,Green,20982,87.0,103.03431512725193,0.20994185492326756,0.7030788294728815
2026-06-23,Mattapan,1479,-45.0,-0.36240703177822853,0.08586883029073698,0.9066937119675457
2026-06-23,Orange,7738,7.0,-32.974282760403206,0.07288705091754975,0.7513569397777203
2026-06-23,Red,5315,172.0,228.37046095954844,0.33603010348071494,0.6182502351834431
2026-06-24,Blue,3413,25.0,150.4863756226194,0.18370934661588045,0.7878699091708175
2026-06-24,Green,20655,72.0,76.6641975308642,0.19748244977003146,0.6955700798838054
2026-06-24,Mattapan,1377,-4.0,15.693536673928831,0.08496732026143791,0.879448075526507
2026-06-24,Orange,7386,39.0,-6.196588139723802,0.07893311670728405,0.7500676956404008
2026-06-24,Red,5939,165.0,213.72082842229332,0.28691698939215354,0.6861424482236067
2026-06-25,Blue,3454,63.0,238.31181239143024,0.31036479444122755,0.6734221192819919
2026-06-25,Green,20915,59.0,50.12770738704279,0.17346402103753286,0.7103992349988046
2026-06-25,Mattapan,1528,-55.0,-27.805628272251308,0.026832460732984294,0.9712041884816754
2026-06-25,Orange,7374,33.0,42.86438839164632,0.09940330892324382,0.8204502305397342
2026-06-25,Red,6047,243.0,238.88539771787663,0.41375888870514305,0.5230692905573011
2026-06-26,Blue,705,48.0,-12.253900709219858,0.2397163120567376,0.5546099290780142
2026-06-26,Green,20671,69.0,68.65671713995452,0.19007304919936144,0.7125925209230323
2026-06-26,Mattapan,1523,-65.0,-35.337491792514776,0.054497701904136574,0.9258043335521996
2026-06-26,Orange,6947,-27.0,-25.474737296674824,0.14149992802648625,0.639268749100331
2026-06-26,Red,5424,225.0,375.476401179941,0.4299410029498525,0.5435103244837758
2026-06-27,Blue,1422,175.0,180.51758087201125,0.3340365682137834,0.6090014064697609
2026-06-27,Green,16685,76.0,112.2465088402757,0.26616721606233146,0.608930176805514
2026-06-27,Mattapan,1126,-67.0,-79.59857904085257,0.004440497335701598,0.9689165186500888
2026-06-27,Orange,5920,27.0,45.72550675675676,0.022466216216216216,0.9768581081081081
2026-06-27,Red,4650,45.0,139.2610752688172,0.13548387096774195,0.8546236559139785
2026-06-28,Blue,888,282.0,162.48423423423424,0.47072072072072074,0.3716216216216216
2026-06-28,Green,15035,42.0,33.556168939142005,0.20798137678749584,0.6245427336215498
2026-06-28,Mattapan,1025,-12.0,39.33951219512195,0.13073170731707318,0.8517073170731707
2026-06-28,Orange,5200,4.0,14.32673076923077,0.006730769230769231,0.9932692307692308
2026-06-28,Red,4962,75.0,124.9340991535671,0.13220475614671504,0.8657799274486094
2026-06-29,Blue,2363,405.0,561.8819297503173,0.5446466356326704,0.4286923402454507
2026-06-29,Green,21520,86.0,90.610687732342,0.20757434944237918,0.7117100371747211
2026-06-29,Mattapan,1542,-65.5,-53.15758754863813,0.031776913099870296,0.9494163424124513
2026-06-29,Orange,7480,31.0,41.54679144385027,0.07967914438502674,0.8390374331550802
2026-06-29,Red,4666,314.0,403.5145735105015,0.5120017145306472,0.42327475353621946
2026-06-30,Blue,1471,132.0,179.56696125084977,0.3589394969408566,0.40856560163154315
2026-06-30,Green,20543,60.0,87.36907949179769,0.20279413912281555,0.7015528403835857
2026-06-30,Mattapan,1515,-74.0,-73.84818481848185,0.009240924092409241,0.972937293729373
2026-06-30,Orange,7603,12.0,-23.73786663159279,0.0612915954228594,0.7978429567276075
2026-06-30,Red,6446,234.0,275.98650325783433,0.3709277071051815,0.621625814458579
2026-07-01,Blue,1941,-14.0,-105.57187017001546,0.05409582689335394,0.747552807831015
2026-07-01,Green,19906,36.0,27.512458555209484,0.15266753742590175,0.729980910278308
2026-07-01,Mattapan,1544,-86.0,-85.88018134715026,0.006476683937823834,0.9773316062176166
2026-07-01,Orange,3173,-2.0,-126.63630633469903,0.10337220296249607,0.5802080050425464
2026-07-01,Red,2507,132.0,78.67530913442361,0.36816912644595134,0.3829278021539689
2026-07-02,Blue,1497,-382.0,-308.39211756847027,0.09886439545758183,0.3059452237808951
2026-07-02,Green,20038,71.0,78.57795189140633,0.230012975346841,0.6509132647968859
2026-07-02,Mattapan,1341,-62.0,-37.45712155108128,0.053691275167785234,0.9008202833706189
2026-07-02,Orange,2439,-379.0,-428.97088970889706,0.06519065190651907,0.3550635506355064
2026-07-02,Red,1802,-346.5,-239.22586015538292,0.20033296337402887,0.2807991120976693
2026-07-03,Blue,1091,-425.0,-338.3180568285976,0.076993583868011,0.23006416131989002
2026-07-03,Green,15815,-8.0,-10.621308883970913,0.13759089472020233,0.7174834018337022
2026-07-03,Mattapan,850,-48.0,-65.85058823529411,0.0058823529411764705,0.9635294117647059
2026-07-03,Orange,1315,-389.0,-254.0996197718631,0.20760456273764258,0.18098859315589352
2026-07-03,Red,1089,-36.0,-234.9568411386593,0.2369146005509642,0.3480257116620753
2026-07-04,Blue,1355,-344.0,-148.46125461254613,0.18671586715867158,0.2878228782287823
2026-07-04,Green,17685,39.0,79.45931580435398,0.2275374611252474,0.6408255583828103
2026-07-04,Mattapan,1109,20.0,38.97294860234445,0.0703336339044184,0.9071235347159603
2026-07-04,Orange,1248,-433.5,-382.09455128205127,0.10817307692307693,0.20592948717948717
2026-07-04,Red,1054,-0.5,-26.26660341555977,0.36242884250474383,0.23434535104364326
2026-07-05,Blue,1228,-279.5,-188.28501628664495,0.09039087947882736,0.43403908794788276
2026-07-05,Green,15878,-49.0,-95.9101272200529,0.09673762438594281,0.6849099382793803
2026-07-05,Mattapan,1042,-56.0,-69.22456813819578,0.005758157389635317,0.9846449136276392
2026-07-05,Orange,1176,-444.5,-305.65561224489795,0.2193877551020408,0.141156462585034
2026-07-05,Red,786,-178.5,-313.5127226463104,0.21246819338422393,0.3142493638676845
2026-07-06,Blue,1918,-201.0,-223.53441084462983,0.05005213764337852,0.6637122002085506
2026-07-06,Green,21336,58.0,67.82011623547056,0.18358642669666292,0.7057555305586801
2026-07-06,Mattapan,1089,-29.0,-8.199265381083563,0.06519742883379247,0.9090909090909091
2026-07-06,Orange,2185,-335.0,-418.1720823798627,0.014645308924485127,0.4389016018306636
2026-07-06,Red,1695,-177.0,-176.6094395280236,0.20648967551622419,0.3775811209439528
2026-07-07,Blue,2031,-372.0,-317.0516986706056,0.068931560807484,0.3082225504677499
2026-07-07,Green,18267,159.0,194.63984233864346,0.3463075491323151,0.5695516505173264
2026-07-07,Mattapan,1115,-68.0,-54.03766816143498,0.03766816143497758,0.9273542600896861
2026-07-07,Orange,2429,-290.0,-313.946068340881,0.06298888431453273,0.45244956772334294
2026-07-07,Red,1587,-1.0,-123.22873345935727,0.3011972274732199,0.30245746691871456
2026-07-08,Blue,1952,-267.0,-89.23975409836065,0.2694672131147541,0.26434426229508196
2026-07-08,Green,19848,99.0,111.26531640467553,0.23281942765014108,0.6907496977025392
2026-07-08,Mattapan,1200,-34.0,-33.66916666666667,0.03333333333333333,0.9408333333333333
2026-07-08,Orange,2468,-231.0,-168.8829011345219,0.13897893030794164,0.45623987034035657
2026-07-08,Red,1741,63.0,11.920735209649626,0.35669155657668006,0.3520964962665135
2026-07-09,Blue,1955,-382.0,-303.76675191815855,0.0741687979539642,0.33554987212276216
2026-07-09,Green,19492,81.0,113.80438128462959,0.24050892673917504,0.6729427457418428
2026-07-09,Mattapan,1456,-42.0,-25.34752747252747,0.07760989010989011,0.8777472527472527
2026-07-09,Orange,1619,-376.0,-250.6436071649166,0.15565163681284744,0.272390364422483
2026-07-09,Red,1210,-393.5,-230.8297520661157,0.2206611570247934,0.23553719008264462
2026-07-10,Blue,1734,-102.0,-143.75259515570934,0.15974625144175317,0.4209919261822376
2026-07-10,Green,18679,86.0,120.95171047700626,0.268001499009583,0.6101504363188608
2026-07-10,Mattapan,1430,-42.0,1.5825174825174826,0.12167832167832168,0.8461538461538461
2026-07-10,Orange,1312,-482.0,-555.8155487804878,0.06859756097560976,0.27210365853658536
2026-07-10,Red,1572,28.5,-20.43702290076336,0.36959287531806617,0.23918575063613232
2026-07-11,Blue,923,-118.0,-136.48862405200433,0.14626218851570963,0.4788732394366197
2026-07-11,Green,16901,125.0,150.29897639192947,0.31998106620910005,0.5687829122537128
2026-07-11,Mattapan,1099,-43.0,-50.74067333939946,0.0009099181073703367,0.9836214740673339
2026-07-11,Orange,962,-392.5,-328.3773388773389,0.12993762993762994,0.24116424116424118
2026-07-11,Red,661,10.0,-23.40998487140696,0.3540090771558245,0.2844175491679274
2026-07-12,Blue,1111,-234.0,-178.4977497749775,0.1476147614761476,0.41674167416741675
2026-07-12,Green,14421,7.0,-16.828097912766104,0.15026697177726925,0.6604951112960267
2026-07-12,Mattapan,1033,-45.0,-67.20619554695062,0.011616650532429816,0.9428848015488868
2026-07-12,Orange,931,-448.0,-416.2953813104189,0.08915145005370569,0.23845327604726102
2026-07-12,Red,1143,-54.0,-270.5161854768154,0.19510061242344706,0.3858267716535433
2026-07-13,Blue,1795,2.0,-42.930362116991645,0.07688022284122563,0.7459610027855154
2026-07-13,Green,20317,126.0,185.54481468720775,0.30949451198503714,0.6058965398434808
2026-07-13,Mattapan,1536,-61.0,-48.535807291666664,0.024088541666666668,0.9674479166666666
2026-07-13,Orange,2615,12.0,-169.59158699808796,0.0367112810707457,0.7304015296367112
2026-07-13,Red,2185,291.0,211.1020594965675,0.49107551487414186,0.31212814645308923
2026-07-14,Blue,1545,39.0,276.5443365695793,0.2828478964401295,0.6873786407766991
2026-07-14,Green,20840,36.0,30.055374280230325,0.15403071017274472,0.7254798464491363
2026-07-14,Mattapan,1533,-53.0,-31.650358773646445,0.016960208741030658,0.9817351598173516
2026-07-14,Orange,6032,50.0,79.34350132625995,0.08604111405835543,0.9015251989389921
2026-07-14,Red,3921,370.0,424.57944401938283,0.551900025503698,0.4072940576383576
2026-07-15,Blue,3490,489.0,578.2358166189111,0.6343839541547278,0.3656160458452722
2026-07-15,Green,20867,56.0,62.774332678391715,0.17970958930368525,0.7106915224996406
2026-07-15,Mattapan,1406,-49.0,-39.55761024182077,0.03485064011379801,0.9395448079658606
2026-07-15,Orange,7132,91.0,120.56533931575996,0.16699383062254627,0.7989343802579921
2026-07-15,Red,4208,395.0,492.39971482889734,0.589828897338403,0.38165399239543724
2026-07-16,Blue,3486,144.0,347.23149741824443,0.3952954675846242,0.6047045324153758
2026-07-16,Green,19826,11.5,-9.288711792595581,0.10072631897508322,0.7689902148693635
2026-07-16,Mattapan,1420,-46.0,-10.028873239436619,0.061971830985915494,0.9330985915492958
2026-07-16,Orange,7299,40.0,59.75202082477052,0.09343745718591588,0.8836826962597616
2026-07-16,Red,5413,198.0,293.55902457047847,0.3801958248660632,0.5939405135784224
2026-07-17,Blue,3703,477.0,519.3788819875776,0.6805293005671077,0.30596813394544964
2026-07-17,Green,19820,112.0,145.9803229061554,0.2805247225025227,0.6391019172552976
2026-07-17,Mattapan,1231,-18.0,36.854589764419174,0.13809910641754672,0.8391551584077985
2026-07-17,Orange,4496,66.0,230.05849644128114,0.29915480427046265,0.6692615658362989
2026-07-17,Red,5864,217.0,266.2075375170532,0.38813096862210095,0.5840723055934516
2026-07-18,Blue,1504,440.0,542.3590425531914,0.6030585106382979,0.35438829787234044
2026-07-18,Green,16402,62.0,89.84770149981709,0.26319960980368245,0.5907206438239239
2026-07-18,Mattapan,1108,-52.0,-63.82942238267148,0.01263537906137184,0.9620938628158845
2026-07-18,Orange,4848,78.0,153.2052392739274,0.1745049504950495,0.8013613861386139
2026-07-18,Red,5058,52.0,84.05792803479636,0.10419137999209174,0.8894820086990906
2026-07-19,Blue,1878,507.0,588.1485623003194,0.65814696485623,0.28168264110756125
2026-07-19,Green,15956,32.0,23.257771371270994,0.21214590122837804,0.6188267736274755
2026-07-19,Mattapan,948,-81.0,-73.23628691983123,0.03059071729957806,0.9018987341772152
2026-07-19,Orange,5193,12.0,18.701713845561333,0.005584440593106105,0.9944155594068939
2026-07-19,Red,4326,320.5,370.9211742949607,0.5171058714748035,0.4655570966250578
2026-07-20,Blue,2191,411.0,473.03925148334093,0.5937927886809676,0.38110451848471016
2026-07-20,Green,20056,75.0,104.32264658954927,0.2517451136816913,0.6378639808536098
2026-07-20,Mattapan,1542,-46.5,-36.16018158236057,0.01556420233463035,0.977302204928664
2026-07-20,Orange,7747,58.0,196.02323480056796,0.18368400671227572,0.8163159932877243
2026-07-20,Red,4524,391.0,467.4263925729443,0.5758178603006189,0.40716180371352784
2026-07-21,Blue,4017,273.0,305.1329350261389,0.44784665173014687,0.5521533482698531
2026-07-21,Green,19534,83.0,98.20594860243678,0.24168117129108221,0.6524521347394286
2026-07-21,Mattapan,1546,-57.0,-45.39133247089263,0.023932729624838292,0.9741267787839586
2026-07-21,Orange,7698,49.0,86.20615744349182,0.08235905429981813,0.9176409457001818
2026-07-21,Red,187,-872.0,-814.0802139037434,0.09090909090909091,0.058823529411764705
2026-07-22,Blue,3802,84.0,209.1788532351394,0.24118884797475013,0.7585481325618095
2026-07-22,Green,19752,99.0,109.57847306601863,0.24665856622114216,0.6616545159983799
2026-07-22,Mattapan,1493,-48.0,-46.589417280643,0.0006697923643670462,0.9973208305425318
2026-07-22,Orange,6836,78.5,232.30763604447046,0.30719719133996487,0.6796372147454652
2026-07-22,Red,198,-913.5,-871.9646464646464,0.10606060606060606,0.08585858585858586
2026-07-23,Blue,2955,183.0,356.9675126903553,0.4182741116751269,0.581725888324873
2026-07-23,Green,20212,19.0,-1.7617751830595685,0.12893330694636848,0.7305066297249159
2026-07-23,Mattapan,1508,-9.0,21.52320954907162,0.09283819628647215,0.8793103448275862
2026-07-23,Orange,7588,66.0,140.83394833948338,0.20057986294148655,0.7970479704797048
2026-07-23,Red,340,-782.0,-471.13235294117646,0.2,0.16176470588235295
2026-07-24,Blue,458,156.5,303.03275109170306,0.4126637554585153,0.4039301310043668
2026-07-24,Green,19545,108.0,126.22312611921207,0.26548989511383986,0.6387822972627271
2026-07-24,Mattapan,1547,-26.0,-6.509372979961215,0.04783451842275371,0.945054945054945
2026-07-24,Orange,7058,76.0,188.37177670728252,0.2837914423349391,0.7159251912723151
2026-07-24,Red,375,-940.0,-908.0453333333334,0.09066666666666667,0.04533333333333334
2026-07-25,Blue,1182,102.0,247.2055837563452,0.31725888324873097,0.6514382402707276
2026-07-25,Green,16808,13.0,-8.41301761066159,0.17545216563541172,0.6389814374107567
2026-07-25,Mattapan,1114,-76.0,-81.04308797127469,0.012567324955116697,0.9551166965888689
2026-07-25,Orange,5647,52.0,102.01576058083938,0.1694705153178679,0.8142376483088366
2026-07-25,Red,352,-863.5,-707.8607954545455,0.14488636363636365,0.10795454545454546
2026-07-26,Blue,2364,332.0,384.72250423011843,0.5532994923857868,0.4251269035532995
2026-07-26,Green,15050,3.0,-30.760066445182723,0.18205980066445182,0.5851827242524917
2026-07-26,Mattapan,1040,-39.0,31.635576923076922,0.16923076923076924,0.8076923076923077
2026-07-26,Orange,4929,30.0,83.90363156826943,0.10042604990870359,0.8995739500912964
2026-07-26,Red,341,-832.0,-685.1173020527859,0.15542521994134897,0.10263929618768329
2026-07-27,Blue,2839,531.0,573.6407185628742,0.6509334272631209,0.3212398731947869
2026-07-27,Green,20346,43.0,32.89167403912317,0.1595891084242603,0.7078541236606704
2026-07-27,Mattapan,1399,-32.0,4.177984274481773,0.11293781272337383,0.8799142244460328
2026-07-27,Orange,8065,27.0,48.6205827650341,0.029510229386236826,0.9682579045257285
2026-07-27,Red,349,-873.0,-593.8080229226362,0.2148997134670487,0.09169054441260745
2026-07-28,Blue,3154,154.0,403.4207355738744,0.346861128725428,0.6395053899809765
2026-07-28,Green,20554,23.0,-0.5584314488664007,0.12090104115987156,0.7401965554150044
2026-07-28,Mattapan,1458,-8.0,30.828532235939644,0.11522633744855967,0.8573388203017832
2026-07-28,Orange,5984,21.0,30.440173796791445,0.000501336898395722,0.9994986631016043
