line,service_hour,time_period,comparable_stop_events,median_schedule_difference_seconds,share_late_over_5_minutes,share_within_5_minutes
Blue,0,Early / night,6486,47.0,0.18362627197039777,0.7149244526672833
Blue,1,Early / night,2011,58.0,0.14868224763799104,0.7603182496270512
Blue,2,Early / night,163,242.0,0.4049079754601227,0.5950920245398773
Blue,5,Early / night,7232,24.0,0.06084070796460177,0.9134402654867256
Blue,6,Early / night,16489,48.0,0.14828067196312694,0.7948935654072412
Blue,7,Morning peak (7-9 AM),17557,63.0,0.23870820755254316,0.7026257333257391
Blue,8,Morning peak (7-9 AM),17269,83.0,0.2882042967166599,0.654757079159187
Blue,9,Midday (9 AM-4 PM),15675,139.0,0.35878787878787877,0.5968740031897927
Blue,10,Midday (9 AM-4 PM),9047,300.0,0.4996131314247817,0.4788327622416271
Blue,11,Midday (9 AM-4 PM),6094,341.0,0.5269117164424023,0.4310797505743354
Blue,12,Midday (9 AM-4 PM),8221,140.0,0.3619997567205936,0.5684223330495074
Blue,13,Midday (9 AM-4 PM),11829,112.0,0.3141432073717136,0.6301462507397075
Blue,14,Midday (9 AM-4 PM),13865,118.0,0.3320591417237649,0.6350522899386946
Blue,15,Midday (9 AM-4 PM),14960,101.0,0.33502673796791443,0.623596256684492
Blue,16,Evening peak (4-6 PM),14934,169.0,0.4079951787866613,0.5597964376590331
Blue,17,Evening peak (4-6 PM),14852,237.0,0.46242930245084835,0.4938055480743334
Blue,18,Night,14171,282.0,0.48959141909533554,0.4634111918707219
Blue,19,Night,12434,243.5,0.45777706289207015,0.5027344378317516
Blue,20,Night,11652,178.5,0.4095434260212839,0.5363886028149674
Blue,21,Night,9580,121.0,0.3512526096033403,0.58580375782881
Blue,22,Night,10824,111.0,0.2816888396156689,0.6488359201773836
Blue,23,Night,9628,117.0,0.2806398005816369,0.6377233070211882
Green,0,Early / night,58655,33.0,0.20668314721677605,0.6363992839485125
Green,1,Early / night,20710,13.0,0.23858039594398842,0.5705456301303719
Green,2,Early / night,2001,-25.0,0.20739630184907545,0.5507246376811594
Green,3,Early / night,1,983.0,1.0,0.0
