line,time_period,comparable_stop_events,median_schedule_difference_seconds,share_late_over_5_minutes
Blue,Early / night,32381,42.0,0.13714832772304747
Blue,Evening peak (4-6 PM),29786,199.0,0.4351373128315316
Blue,Midday (9 AM-4 PM),79691,144.0,0.37222521991190977
Blue,Morning peak (7-9 AM),34826,72.0,0.2632515936369379
Blue,Night,68289,162.0,0.3883202272693992
Green,Early / night,175108,22.0,0.1497704273933801
Green,Evening peak (4-6 PM),147198,74.0,0.24390956398864114
Green,Midday (9 AM-4 PM),519281,59.0,0.2075774002900164
Green,Morning peak (7-9 AM),147758,12.0,0.12504906671719976
Green,Night,441173,86.0,0.2435915162532612
Mattapan,Early / night,14492,-60.0,0.028360474744686722
Mattapan,Evening peak (4-6 PM),15499,-19.0,0.05271307826311375
Mattapan,Midday (9 AM-4 PM),44536,-41.0,0.05072301059816777
Mattapan,Morning peak (7-9 AM),14508,-45.0,0.04790460435621726
Mattapan,Night,31594,-36.0,0.05216180287396341
Orange,Early / night,58265,23.0,0.06997339740839269
Orange,Evening peak (4-6 PM),47784,57.0,0.2047338021094927
Orange,Midday (9 AM-4 PM),151899,44.0,0.12079737193793244
Orange,Morning peak (7-9 AM),52157,59.0,0.12517974576758634
Orange,Night,133170,43.0,0.12021476308477885
Red,Early / night,39714,65.0,0.16445082338721861
Red,Evening peak (4-6 PM),37033,249.0,0.4392838819431318
Red,Midday (9 AM-4 PM),130354,236.0,0.4271138591834543
Red,Morning peak (7-9 AM),43759,125.0,0.2357457894376014
Red,Night,106655,206.0,0.3930898692044442
