line,parent_station,comparable_stop_events,share_late_over_5_minutes,median_schedule_difference_seconds,median_stop_sequence,average_delay_when_late_seconds,median_delay_when_late_seconds,station_name
Blue,place-aport,24643,0.33023576674917826,104.0,50.0,797.4286065372328,688.5,Airport
Blue,place-aqucl,24765,0.34399353926912984,124.0,30.0,794.93297335368,682.0,Aquarium
Blue,place-bmmnl,24336,0.3320184089414859,103.0,20.0,801.6725247524753,698.0,Beachmont
Blue,place-bomnl,2,0.0,-654.5,110.0,,,Bowdoin
Blue,place-gover,24788,0.3341536227206713,111.0,10.0,798.8256670288542,692.0,Government Center
Blue,place-mvbcl,24745,0.3342493433016771,113.0,40.0,797.1909079917785,691.0,Maverick
Blue,place-orhte,24423,0.3384514596896368,112.0,40.0,795.3405516573918,685.0,Orient Heights
Blue,place-rbmnl,24190,0.3367507234394378,104.0,10.0,803.3518291185858,700.0,Revere Beach
Blue,place-sdmnl,24321,0.3484231733892521,127.0,30.0,793.8360868539061,683.0,Suffolk Downs
Blue,place-state,24776,0.34355828220858897,128.0,20.0,797.8144971804511,688.0,State
Blue,place-wimnl,23963,0.33610148979677,114.0,50.0,802.5562453439285,698.0,Wood Island
Blue,place-wondl,21,0.38095238095238093,284.0,110.0,452.125,372.0,Wonderland
Green,place-alsgr,16946,0.17762303788504663,43.0,70.0,579.3873754152823,484.0,Allston Street
Green,place-amory,16799,0.209060063098994,75.0,130.0,555.4094533029613,465.0,Amory Street
Green,place-armnl,69013,0.22818889194789388,72.0,100.0,553.2800355600712,476.0,Arlington
Green,place-babck,16749,0.19756403367365216,72.0,120.0,549.0534904805077,461.0,Babcock Street
Green,place-balsq,19282,0.08754278601804792,-9.0,700.0,574.5805687203791,477.0,Ball Square
Green,place-bckhl,17747,0.16650701527018652,-60.0,670.0,562.8223350253808,480.0,Back of the Hill
Green,place-bcnfd,16648,0.28321720326765976,129.0,390.0,575.2759278897137,487.0,Beaconsfield
Green,place-bcnwa,17647,0.20411401371337903,77.0,220.0,557.1088284286508,473.5,Washington Square
Green,place-bland,16715,0.20664074184863895,60.0,170.0,555.4837869137232,466.0,Blandford Street
Green,place-bndhl,10611,0.2569032136462162,115.0,240.0,559.3411592076302,482.0,Brandon Hall
Green,place-boyls,68748,0.22953395007854774,74.0,90.0,554.2425221799747,477.0,Boylston
Green,place-brico,17004,0.1930134086097389,53.0,100.0,575.8564899451554,480.0,Packards Corner
Green,place-brkhl,16630,0.2815393866506314,122.0,400.0,580.746475865015,493.0,Brookline Hills
Green,place-brmnl,17797,0.1534528291285048,-56.0,630.0,555.3064811424387,468.0,Brigham Circle
Green,place-bucen,16757,0.20361639911678703,52.0,150.0,574.427022274326,486.0,Boston University Central
Green,place-buest,16711,0.1978936030159775,49.0,160.0,564.2125793770789,476.0,Boston University East
Green,place-bvmnl,16686,0.27603979383914656,119.0,410.0,580.3584455058619,490.0,Brookline Village
Green,place-chhil,16449,0.26147486169372,115.0,370.0,580.8246919321089,494.0,Chestnut Hill
Green,place-chill,16711,0.18610496080426067,48.0,20.0,583.2549839228296,485.0,Chestnut Hill Avenue
Green,place-chswk,16757,0.184937638002029,26.0,30.0,599.7750887383027,499.0,Chiswick Road
Green,place-clmnl,935,0.3582887700534759,161.0,440.0,604.1671641791045,519.0,Cleveland Circle
Green,place-coecl,68115,0.22464948983337005,65.0,110.0,557.0582930335904,477.0,Copley
Green,place-cool,17754,0.21381097217528444,85.0,260.0,552.5505795574288,472.5,Coolidge Corner
Green,place-denrd,16664,0.18560969755160825,27.0,420.0,576.1280310378273,496.0,Dean Road
Green,place-eliot,16314,0.2607576314821626,118.0,340.0,587.7063939821345,499.0,Eliot
Green,place-engav,14364,0.1677805625174046,35.0,190.0,565.6323651452282,478.5,Englewood Avenue
Green,place-esomr,18627,0.10296880871852687,10.0,8.0,554.4551616266945,459.0,East Somerville
Green,place-fbkst,17683,0.22688457840864107,95.0,230.0,561.2083748753739,482.0,Fairbanks Street
Green,place-fenwd,17816,0.17972608890884598,-26.0,640.0,563.1161773891318,476.0,Fenwood Road
Green,place-fenwy,16598,0.2807567176768285,122.0,430.0,572.3474248927039,489.0,Fenway
Green,place-gilmn,19412,0.10235936534102617,12.0,680.0,559.3885254151988,458.0,Gilman Square
Green,place-gover,34216,0.22208908113163434,64.5,610.0,563.5631004079485,486.0,Government Center
Green,place-grigg,16976,0.18367106503298775,47.0,80.0,581.2806286080821,483.5,Griggs Street
Green,place-haecl,34249,0.20073578790621624,43.0,30.0,566.7984,488.0,Haymarket
Green,place-harvd,16986,0.17043447545037088,41.0,90.0,565.9253886010363,468.0,Harvard Avenue
Green,place-hsmnl,1,0.0,284.0,680.0,,,Heath Street
Green,place-hwsst,17792,0.24567221223021582,117.0,290.0,543.4630519331961,465.0,Hawes Street
Green,place-hymnl,49900,0.24685370741482965,97.0,120.0,559.464767007631,481.0,Hynes Convention Center
Green,place-kencl,50966,0.23760938664992348,89.0,550.0,557.202642444261,477.0,Kenmore
Green,place-kntst,17754,0.2412414103863918,118.0,280.0,543.5708615456456,468.0,Kent Street
Green,place-lech,35113,0.1704781704781705,21.0,9.0,575.5573003675242,490.0,Lechmere
Green,place-lngmd,18359,0.15806961163462063,-42.0,620.0,560.9396967608545,478.0,Longwood Medical Area
Green,place-longw,16692,0.2876827222621615,128.0,420.0,575.3123698458976,487.0,Longwood
Green,place-mfa,18381,0.1613078722593983,-37.0,610.0,562.3794266441821,476.0,Museum of Fine Arts
Green,place-mgngl,19365,0.1010586108959463,19.0,690.0,560.4879918242208,460.0,Magoun Square
Green,place-mispk,17817,0.14879048100129091,-75.0,650.0,560.7525462089777,476.0,Mission Park
Green,place-newtn,16399,0.2700164644185621,131.0,350.0,576.1822493224932,491.0,Newton Highlands
Green,place-newto,16453,0.26797544520756095,128.0,360.0,576.2365615785892,492.0,Newton Centre
Green,place-north,34484,0.19258206704558636,34.0,20.0,567.325703960247,486.0,North Station
Green,place-nuniv,18351,0.1526892267451365,-52.0,600.0,561.6556031406138,472.0,Northeastern University
Green,place-pktrm,65268,0.2191732548875406,70.0,600.0,549.1068157986718,473.0,Park Street
Green,place-prmnl,18253,0.16988988111543307,-30.0,580.0,558.1944534021284,471.0,Prudential
Green,place-river,2,0.5,38.0,570.0,605.0,605.0,Riverside
Green,place-rsmnl,16485,0.2630876554443433,115.0,380.0,579.3866728153101,494.0,Reservoir
Green,place-rvrwy,17826,0.1638056771008639,-61.0,660.0,563.4623287671233,479.0,Riverway
Green,place-smary,17825,0.23304347826086957,98.0,300.0,546.7946557534906,467.0,Saint Marys Street
Green,place-sougr,16594,0.1706038327106183,-9.0,300.0,607.4955845990816,507.0,South Street
Green,place-spmnl,34830,0.18863049095607234,41.0,10.0,570.7356164383561,488.0,Science Park
Green,place-sthld,16828,0.1885547896363204,30.0,40.0,597.9152221872046,505.0,Sutherland Road
Green,place-stpul,17780,0.23543307086614174,116.0,270.0,542.5812231247014,467.0,Saint Paul Street
Green,place-sumav,15688,0.20289393166751657,69.0,250.0,564.115300031417,478.0,Summit Avenue
Green,place-tapst,14128,0.17412231030577577,45.0,210.0,559.8845528455284,474.5,Tappan Street
Green,place-unsqu,4,0.5,465.5,660.0,1097.0,1097.0,Union Square
Green,place-waban,16209,0.23850947004750447,103.0,330.0,583.6707190894982,491.5,Waban
Green,place-wascm,16921,0.18030849240588617,38.0,50.0,578.2245165519502,479.0,Washington Street
Green,place-woodl,15991,0.23394409355262336,97.0,560.0,590.5511895215183,499.0,Woodland
Green,place-wrnst,16943,0.16950953196010152,14.0,60.0,592.2451253481894,498.0,Warren Street
Mattapan,place-asmnl,159,0.1949685534591195,-66.0,8.0,522.8709677419355,590.0,Ashmont
Mattapan,place-butlr,19990,0.042471235617808904,-52.0,3.0,471.77149587750296,435.0,Butler
Mattapan,place-capst,20037,0.054549084194240656,-11.0,7.0,519.6047575480329,475.0,Capen Street
Mattapan,place-cedgr,20134,0.04127346776596801,-60.0,2.0,471.52105896510227,424.0,Cedar Grove
Mattapan,place-cenav,20112,0.05081543357199682,-36.0,5.0,509.8248532289628,471.0,Central Avenue
Mattapan,place-miltt,20079,0.046317047661736145,-61.0,4.0,503.33978494623653,467.5,Milton
Mattapan,place-valrd,20118,0.053385028332836267,-12.0,6.0,522.3147113594041,481.5,Valley Road
Orange,place-astao,23907,0.12034132262517254,44.0,160.0,583.5512686826555,481.0,Assembly
Orange,place-bbsta,23751,0.11835291145635973,37.0,70.0,580.2024190679474,478.0,Back Bay
Orange,place-ccmnl,23828,0.11960718482457613,38.0,140.0,584.6164912280702,483.5,Community College
Orange,place-chncl,23704,0.12516874789065136,47.0,90.0,576.0984159083249,479.0,Chinatown
Orange,place-dwnxg,23698,0.12292176554983543,44.0,100.0,582.2883625128733,482.0,Downtown Crossing
Orange,place-grnst,26339,0.123543035043092,44.0,10.0,594.8712354025814,484.0,Green Street
Orange,place-haecl,23778,0.1217511985869291,47.0,120.0,578.6120898100173,480.0,Haymarket
Orange,place-jaksn,26279,0.1248144906579398,33.0,30.0,593.9655487804878,489.0,Jackson Square
Orange,place-masta,26162,0.13099151441021328,44.0,60.0,594.9025386635541,482.0,Massachusetts Avenue
Orange,place-mlmnl,23998,0.13046920576714727,59.0,180.0,587.3829447460876,493.0,Malden Center
Orange,place-north,23794,0.11977809531814743,41.0,130.0,584.3891228070175,482.0,North Station
Orange,place-rcmnl,26251,0.12654756009294885,30.0,40.0,596.1724864539434,483.0,Roxbury Crossing
Orange,place-rugg,26181,0.13819181849432796,52.0,50.0,593.0196241017137,484.0,Ruggles
Orange,place-sbmnl,26297,0.12351218770201924,43.0,20.0,594.684421182266,487.0,Stony Brook
Orange,place-state,23716,0.11317254174397032,24.0,110.0,583.9791356184799,485.0,State
Orange,place-sull,23889,0.11812968311775295,37.0,150.0,585.1410347271438,485.0,Sullivan Square
Orange,place-tumnl,23765,0.12152324847464759,43.0,80.0,580.2998614958449,480.0,Tufts Medical Center
Orange,place-welln,23938,0.12156404043779764,51.0,170.0,584.1556701030928,482.0,Wellington
Red,place-andrw,24238,0.37882663586104465,193.0,110.0,664.4288825963843,563.0,Andrew
Red,place-brdwy,24210,0.37443205287071457,192.5,100.0,659.8604522890237,558.0,Broadway
Red,place-chmnl,23724,0.38463159669532965,207.0,60.0,635.0657534246575,538.0,Charles/MGH
Red,place-cntsq,23713,0.3657065744528318,193.0,40.0,624.612315498155,528.0,Central
Red,place-davis,23643,0.3743179799517828,201.0,10.0,619.4525423728813,527.0,Davis
Red,place-dwnxg,16988,0.3205792323993407,155.0,140.0,647.126147631289,538.5,Downtown Crossing
Red,place-fldcr,11943,0.3245415724692288,141.0,150.0,653.0234778121775,553.5,Fields Corner
Red,place-harsq,23686,0.37300515072194546,199.0,30.0,620.9251839275609,528.0,Harvard
Red,place-jfk,24259,0.3669153716146585,184.0,120.0,660.7547466576789,559.0,JFK/UMass
Red,place-knncl,23732,0.37999325804820494,205.0,50.0,628.9462186737636,535.0,Kendall/MIT
Red,place-nqncy,12285,0.36735856735856737,175.0,180.0,690.196764901396,593.0,North Quincy
Red,place-pktrm,16713,0.3260934601806977,156.0,150.0,641.7761467889908,535.0,Park Street
Red,place-portr,23665,0.39623917177266005,219.0,20.0,617.8617894849099,527.0,Porter
Red,place-qamnl,12242,0.3604803136742362,175.0,210.0,705.091774303195,604.0,Quincy Adams
Red,place-qnctr,12238,0.36329465598954075,170.0,200.0,697.280701754386,598.0,Quincy Center
Red,place-shmnl,11903,0.33949424514828197,149.0,140.0,647.778025241277,549.0,Savin Hill
Red,place-smmnl,11941,0.32819696842810486,147.0,160.0,655.5442714978311,553.0,Shawmut
Red,place-sstat,24113,0.37680919006345126,198.0,90.0,650.1572749284613,550.0,South Station
Red,place-wlsta,12279,0.3665607948530011,172.0,190.0,694.2697178404799,596.0,Wollaston
