line,parent_station,service_hour,time_period,comparable_stop_events,share_late_over_5_minutes,median_schedule_difference_seconds,average_delay_when_late_seconds,median_delay_when_late_seconds,station_name
Blue,place-aport,0,Early / night,612,0.1650326797385621,32.0,564.2475247524752,485.0,Airport
Blue,place-aport,1,Early / night,223,0.1031390134529148,49.0,578.6086956521739,514.0,Airport
Blue,place-aport,2,Early / night,20,0.35,214.0,579.4285714285714,485.0,Airport
Blue,place-aport,5,Early / night,740,0.04864864864864865,29.5,644.5833333333334,523.5,Airport
Blue,place-aport,6,Early / night,1664,0.14362980769230768,43.0,645.6359832635983,522.0,Airport
Blue,place-aport,7,Morning peak (7-9 AM),1767,0.23033389926428977,54.0,742.7641277641278,604.0,Airport
Blue,place-aport,8,Morning peak (7-9 AM),1741,0.28891441700172316,71.0,675.0735586481113,538.0,Airport
Blue,place-aport,9,Midday (9 AM-4 PM),1600,0.34625,127.0,828.0595667870036,692.0,Airport
Blue,place-aport,10,Midday (9 AM-4 PM),944,0.5,300.5,855.1970338983051,793.5,Airport
Blue,place-aport,11,Midday (9 AM-4 PM),606,0.5379537953795379,363.5,906.9141104294479,805.5,Airport
Blue,place-aport,12,Midday (9 AM-4 PM),824,0.345873786407767,135.5,773.1333333333333,686.0,Airport
Blue,place-aport,13,Midday (9 AM-4 PM),1183,0.30008453085376163,94.0,733.9633802816901,633.0,Airport
Blue,place-aport,14,Midday (9 AM-4 PM),1395,0.3225806451612903,107.0,783.5511111111111,745.0,Airport
Blue,place-aport,15,Midday (9 AM-4 PM),1466,0.33560709413369716,87.0,772.2052845528456,705.5,Airport
Blue,place-aport,16,Evening peak (4-6 PM),1507,0.40345056403450563,155.0,830.016447368421,699.5,Airport
Blue,place-aport,17,Evening peak (4-6 PM),1478,0.46075778078484436,229.0,880.6857562408223,826.0,Airport
Blue,place-aport,18,Night,1406,0.4779516358463727,265.5,920.4389880952381,898.0,Airport
Blue,place-aport,19,Night,1254,0.45374800637958534,238.5,881.7029876977153,793.0,Airport
Blue,place-aport,20,Night,1163,0.40928632846087704,175.0,817.5168067226891,732.5,Airport
Blue,place-aport,21,Night,959,0.35140771637122004,121.0,714.646884272997,601.0,Airport
Blue,place-aport,22,Night,1104,0.25905797101449274,93.0,712.2902097902098,572.0,Airport
Blue,place-aport,23,Night,987,0.2624113475177305,103.0,640.7606177606177,498.0,Airport
Blue,place-aqucl,0,Early / night,707,0.18246110325318246,60.0,557.4651162790698,485.0,Aquarium
Blue,place-aqucl,1,Early / night,177,0.15254237288135594,55.0,587.1851851851852,513.0,Aquarium
Blue,place-aqucl,2,Early / night,2,1.0,680.5,680.5,680.5,Aquarium
Blue,place-aqucl,5,Early / night,738,0.06504065040650407,32.0,559.6875,507.0,Aquarium
Blue,place-aqucl,6,Early / night,1652,0.137409200968523,41.5,652.2114537444934,533.0,Aquarium
Blue,place-aqucl,7,Morning peak (7-9 AM),1794,0.23690078037904125,58.5,751.3670588235294,613.0,Aquarium
Blue,place-aqucl,8,Morning peak (7-9 AM),1716,0.289044289044289,81.0,674.7520161290323,543.0,Aquarium
Blue,place-aqucl,9,Midday (9 AM-4 PM),1618,0.37082818294190356,156.0,798.865,658.5,Aquarium
Blue,place-aqucl,10,Midday (9 AM-4 PM),943,0.503711558854719,302.0,850.8063157894737,758.0,Aquarium
Blue,place-aqucl,11,Midday (9 AM-4 PM),611,0.5368248772504092,375.0,936.4420731707318,861.5,Aquarium
Blue,place-aqucl,12,Midday (9 AM-4 PM),831,0.37184115523465705,162.0,760.3236245954693,680.0,Aquarium
Blue,place-aqucl,13,Midday (9 AM-4 PM),1176,0.3273809523809524,138.0,725.4051948051948,623.0,Aquarium
Blue,place-aqucl,14,Midday (9 AM-4 PM),1414,0.347949080622348,143.0,788.8780487804878,737.5,Aquarium
Blue,place-aqucl,15,Midday (9 AM-4 PM),1509,0.3373094764744864,115.0,783.7996070726915,713.0,Aquarium
Blue,place-aqucl,16,Evening peak (4-6 PM),1515,0.4158415841584158,177.0,825.9555555555555,702.0,Aquarium
Blue,place-aqucl,17,Evening peak (4-6 PM),1507,0.47113470471134705,249.0,882.056338028169,827.5,Aquarium
Blue,place-aqucl,18,Night,1419,0.4996476391825229,300.0,906.7122708039492,891.0,Aquarium
Blue,place-aqucl,19,Night,1241,0.46172441579371476,251.0,886.7469458987783,786.0,Aquarium
Blue,place-aqucl,20,Night,1171,0.4218616567036721,196.0,832.9372469635628,767.0,Aquarium
Blue,place-aqucl,21,Night,981,0.3720693170234455,153.0,697.7150684931507,564.0,Aquarium
Blue,place-aqucl,22,Night,1098,0.290528233151184,123.5,708.6144200626959,564.0,Aquarium
Blue,place-aqucl,23,Night,945,0.28253968253968254,124.0,645.3595505617977,487.0,Aquarium
Blue,place-bmmnl,0,Early / night,651,0.1858678955453149,42.0,553.4297520661157,462.0,Beachmont
Blue,place-bmmnl,1,Early / night,211,0.16587677725118483,69.0,542.0,516.0,Beachmont
Blue,place-bmmnl,2,Early / night,27,0.4074074074074074,260.0,592.0,619.0,Beachmont
Blue,place-bmmnl,5,Early / night,676,0.06804733727810651,-6.0,564.0652173913044,470.0,Beachmont
Blue,place-bmmnl,6,Early / night,1660,0.1602409638554217,41.0,693.8195488721805,585.5,Beachmont
Blue,place-bmmnl,7,Morning peak (7-9 AM),1753,0.23730747290359383,57.0,722.0168269230769,587.5,Beachmont
Blue,place-bmmnl,8,Morning peak (7-9 AM),1725,0.27768115942028987,82.0,695.2693110647182,550.0,Beachmont
Blue,place-bmmnl,9,Midday (9 AM-4 PM),1504,0.34175531914893614,116.0,833.2937743190662,694.0,Beachmont
Blue,place-bmmnl,10,Midday (9 AM-4 PM),851,0.4888366627497062,276.0,834.6201923076923,774.5,Beachmont
Blue,place-bmmnl,11,Midday (9 AM-4 PM),613,0.499184339314845,297.0,912.3921568627451,843.0,Beachmont
Blue,place-bmmnl,12,Midday (9 AM-4 PM),822,0.3613138686131387,121.5,778.2154882154882,685.0,Beachmont
Blue,place-bmmnl,13,Midday (9 AM-4 PM),1192,0.31543624161073824,94.0,754.625,666.5,Beachmont
Blue,place-bmmnl,14,Midday (9 AM-4 PM),1352,0.3165680473372781,104.0,784.6144859813085,757.5,Beachmont
Blue,place-bmmnl,15,Midday (9 AM-4 PM),1515,0.3234323432343234,79.0,795.2530612244898,719.0,Beachmont
Blue,place-bmmnl,16,Evening peak (4-6 PM),1487,0.3960995292535306,154.0,817.3242784380305,679.0,Beachmont
Blue,place-bmmnl,17,Evening peak (4-6 PM),1490,0.4476510067114094,220.5,876.3913043478261,813.0,Beachmont
Blue,place-bmmnl,18,Night,1431,0.4856743535988819,264.0,928.7007194244604,900.0,Beachmont
Blue,place-bmmnl,19,Night,1254,0.45534290271132377,240.0,894.8896672504378,798.0,Beachmont
Blue,place-bmmnl,20,Night,1156,0.4005190311418685,162.5,849.354211663067,753.0,Beachmont
Blue,place-bmmnl,21,Night,940,0.33404255319148934,80.5,749.3407643312102,667.5,Beachmont
Blue,place-bmmnl,22,Night,1080,0.28055555555555556,100.0,702.5511551155115,570.0,Beachmont
Blue,place-bmmnl,23,Night,946,0.2928118393234672,134.0,658.1335740072202,510.0,Beachmont
Blue,place-bomnl,16,Evening peak (4-6 PM),1,0.0,-352.0,,,Bowdoin
Blue,place-bomnl,19,Night,1,0.0,-957.0,,,Bowdoin
Blue,place-gover,0,Early / night,674,0.19287833827893175,55.0,555.7846153846153,476.5,Government Center
Blue,place-gover,1,Early / night,182,0.15384615384615385,14.0,605.3571428571429,539.0,Government Center
Blue,place-gover,5,Early / night,754,0.0610079575596817,6.0,539.6739130434783,503.5,Government Center
Blue,place-gover,6,Early / night,1631,0.13182096873083998,28.0,657.9906976744186,526.0,Government Center
Blue,place-gover,7,Morning peak (7-9 AM),1778,0.2249718785151856,48.5,759.495,616.5,Government Center
Blue,place-gover,8,Morning peak (7-9 AM),1716,0.28205128205128205,76.5,678.9628099173553,546.0,Government Center
Blue,place-gover,9,Midday (9 AM-4 PM),1632,0.3639705882352941,141.0,802.5218855218856,664.0,Government Center
Blue,place-gover,10,Midday (9 AM-4 PM),930,0.4989247311827957,299.5,848.1961206896551,773.5,Government Center
Blue,place-gover,11,Midday (9 AM-4 PM),621,0.5362318840579711,361.0,941.990990990991,875.0,Government Center
Blue,place-gover,12,Midday (9 AM-4 PM),829,0.36308805790108567,153.0,774.8970099667774,698.0,Government Center
Blue,place-gover,13,Midday (9 AM-4 PM),1182,0.30710659898477155,115.0,738.1487603305785,635.0,Government Center
Blue,place-gover,14,Midday (9 AM-4 PM),1408,0.34517045454545453,129.0,797.1893004115226,754.5,Government Center
Blue,place-gover,15,Midday (9 AM-4 PM),1519,0.31797235023041476,95.0,777.3830227743272,707.0,Government Center
Blue,place-gover,16,Evening peak (4-6 PM),1511,0.40238252812706815,159.0,824.7483552631579,721.0,Government Center
Blue,place-gover,17,Evening peak (4-6 PM),1505,0.4558139534883721,221.0,868.9402332361516,808.0,Government Center
Blue,place-gover,18,Night,1425,0.4968421052631579,295.0,927.6087570621469,896.5,Government Center
Blue,place-gover,19,Night,1236,0.44660194174757284,231.0,893.0960144927536,797.5,Government Center
Blue,place-gover,20,Night,1189,0.4028595458368377,172.0,829.5887265135699,757.0,Government Center
Blue,place-gover,21,Night,975,0.3548717948717949,132.0,703.2832369942197,575.5,Government Center
Blue,place-gover,22,Night,1097,0.28988149498632637,116.0,702.6006289308176,558.5,Government Center
Blue,place-gover,23,Night,994,0.2605633802816901,99.5,653.6833976833976,502.0,Government Center
Blue,place-mvbcl,0,Early / night,665,0.16090225563909774,34.0,561.8504672897196,476.0,Maverick
Blue,place-mvbcl,1,Early / night,182,0.13736263736263737,48.5,615.4,532.0,Maverick
Blue,place-mvbcl,2,Early / night,11,0.6363636363636364,354.0,544.2857142857143,479.0,Maverick
Blue,place-mvbcl,5,Early / night,748,0.05748663101604278,45.0,566.0,489.0,Maverick
Blue,place-mvbcl,6,Early / night,1669,0.1372079089275015,55.0,661.4541484716157,532.0,Maverick
Blue,place-mvbcl,7,Morning peak (7-9 AM),1728,0.23958333333333334,72.5,750.0048309178744,605.5,Maverick
Blue,place-mvbcl,8,Morning peak (7-9 AM),1739,0.2915468660149511,86.0,672.0059171597633,544.0,Maverick
Blue,place-mvbcl,9,Midday (9 AM-4 PM),1628,0.3581081081081081,132.5,801.8747855917667,661.0,Maverick
Blue,place-mvbcl,10,Midday (9 AM-4 PM),933,0.49732047159699894,295.0,856.2262931034483,803.5,Maverick
Blue,place-mvbcl,11,Midday (9 AM-4 PM),612,0.5277777777777778,353.0,928.1671826625387,859.0,Maverick
Blue,place-mvbcl,12,Midday (9 AM-4 PM),831,0.36341756919374246,142.0,760.8973509933775,666.0,Maverick
Blue,place-mvbcl,13,Midday (9 AM-4 PM),1184,0.3091216216216216,112.5,734.6584699453551,628.0,Maverick
Blue,place-mvbcl,14,Midday (9 AM-4 PM),1411,0.3253012048192771,115.0,790.8692810457517,741.0,Maverick
Blue,place-mvbcl,15,Midday (9 AM-4 PM),1490,0.33221476510067116,94.0,772.3757575757576,698.0,Maverick
Blue,place-mvbcl,16,Evening peak (4-6 PM),1509,0.40159045725646125,160.0,822.450495049505,697.0,Maverick
Blue,place-mvbcl,17,Evening peak (4-6 PM),1486,0.4697173620457604,244.5,876.4426934097421,821.0,Maverick
Blue,place-mvbcl,18,Night,1445,0.48581314878892734,281.0,918.3817663817664,904.0,Maverick
Blue,place-mvbcl,19,Night,1254,0.45215311004784686,227.0,892.5097001763669,793.0,Maverick
Blue,place-mvbcl,20,Night,1175,0.4025531914893617,171.0,832.9175475687103,776.0,Maverick
Blue,place-mvbcl,21,Night,974,0.3470225872689938,133.5,713.9556213017752,582.0,Maverick
Blue,place-mvbcl,22,Night,1109,0.27412082957619477,101.0,712.7894736842105,568.5,Maverick
Blue,place-mvbcl,23,Night,962,0.2692307692307692,104.5,639.953667953668,485.0,Maverick
Blue,place-orhte,0,Early / night,609,0.18719211822660098,42.0,541.0350877192982,447.5,Orient Heights
Blue,place-orhte,1,Early / night,214,0.14485981308411214,70.0,572.516129032258,490.0,Orient Heights
Blue,place-orhte,2,Early / night,25,0.32,217.0,571.875,529.5,Orient Heights
Blue,place-orhte,5,Early / night,744,0.053763440860215055,33.0,582.125,477.5,Orient Heights
Blue,place-orhte,6,Early / night,1635,0.1529051987767584,45.0,677.948,564.0,Orient Heights
Blue,place-orhte,7,Morning peak (7-9 AM),1777,0.23522791221159256,55.0,718.6267942583733,576.5,Orient Heights
Blue,place-orhte,8,Morning peak (7-9 AM),1734,0.28604382929642447,70.5,695.3387096774194,537.0,Orient Heights
Blue,place-orhte,9,Midday (9 AM-4 PM),1513,0.3615333773959022,139.0,825.2577696526508,683.0,Orient Heights
Blue,place-orhte,10,Midday (9 AM-4 PM),878,0.49316628701594534,282.5,830.9399538106236,753.0,Orient Heights
Blue,place-orhte,11,Midday (9 AM-4 PM),596,0.5167785234899329,324.5,893.7142857142857,806.0,Orient Heights
Blue,place-orhte,12,Midday (9 AM-4 PM),826,0.37772397094430993,156.5,777.5128205128206,684.5,Orient Heights
Blue,place-orhte,13,Midday (9 AM-4 PM),1190,0.31596638655462184,109.0,752.3404255319149,667.5,Orient Heights
Blue,place-orhte,14,Midday (9 AM-4 PM),1384,0.32442196531791906,110.0,774.7126948775056,741.0,Orient Heights
Blue,place-orhte,15,Midday (9 AM-4 PM),1498,0.3471295060080107,104.5,779.6288461538461,707.0,Orient Heights
Blue,place-orhte,16,Evening peak (4-6 PM),1484,0.408355795148248,174.5,824.5,682.0,Orient Heights
Blue,place-orhte,17,Evening peak (4-6 PM),1495,0.4662207357859532,239.0,875.1276901004304,821.0,Orient Heights
Blue,place-orhte,18,Night,1426,0.4901823281907433,285.0,910.1301859799714,878.0,Orient Heights
Blue,place-orhte,19,Night,1241,0.47058823529411764,256.0,890.5753424657535,795.0,Orient Heights
Blue,place-orhte,20,Night,1158,0.40846286701208984,167.0,819.262156448203,732.0,Orient Heights
Blue,place-orhte,21,Night,962,0.3482328482328482,112.0,740.1373134328359,643.0,Orient Heights
Blue,place-orhte,22,Night,1050,0.2819047619047619,105.5,692.8445945945946,567.5,Orient Heights
Blue,place-orhte,23,Night,984,0.2784552845528455,114.0,659.1861313868613,502.5,Orient Heights
Blue,place-rbmnl,0,Early / night,629,0.1971383147853736,49.0,568.016129032258,482.5,Revere Beach
Blue,place-rbmnl,1,Early / night,207,0.18357487922705315,84.0,580.2368421052631,528.0,Revere Beach
Blue,place-rbmnl,2,Early / night,25,0.48,285.0,581.5833333333334,573.0,Revere Beach
Blue,place-rbmnl,5,Early / night,668,0.06736526946107785,-3.0,558.6222222222223,471.0,Revere Beach
Blue,place-rbmnl,6,Early / night,1661,0.1613485851896448,45.0,728.6716417910447,625.0,Revere Beach
Blue,place-rbmnl,7,Morning peak (7-9 AM),1735,0.24322766570605187,54.0,729.0710900473933,584.5,Revere Beach
Blue,place-rbmnl,8,Morning peak (7-9 AM),1737,0.2740356937248129,77.0,692.1197478991596,547.0,Revere Beach
Blue,place-rbmnl,9,Midday (9 AM-4 PM),1490,0.34496644295302015,120.5,814.7782101167315,683.0,Revere Beach
Blue,place-rbmnl,10,Midday (9 AM-4 PM),866,0.48729792147806006,274.0,846.888625592417,782.5,Revere Beach
Blue,place-rbmnl,11,Midday (9 AM-4 PM),616,0.5194805194805194,332.0,907.775,832.5,Revere Beach
Blue,place-rbmnl,12,Midday (9 AM-4 PM),808,0.3465346534653465,92.5,782.5571428571428,672.5,Revere Beach
Blue,place-rbmnl,13,Midday (9 AM-4 PM),1187,0.3159224936815501,91.0,768.64,676.0,Revere Beach
Blue,place-rbmnl,14,Midday (9 AM-4 PM),1387,0.31074260994953135,96.0,774.5730858468678,751.0,Revere Beach
Blue,place-rbmnl,15,Midday (9 AM-4 PM),1474,0.3419267299864315,87.0,793.7281746031746,718.5,Revere Beach
Blue,place-rbmnl,16,Evening peak (4-6 PM),1497,0.40414161656646624,161.0,815.305785123967,664.0,Revere Beach
Blue,place-rbmnl,17,Evening peak (4-6 PM),1468,0.4536784741144414,231.0,877.4684684684685,822.0,Revere Beach
Blue,place-rbmnl,18,Night,1418,0.4978843441466855,296.0,919.9830028328612,888.5,Revere Beach
Blue,place-rbmnl,19,Night,1262,0.4595879556259905,250.0,891.8758620689655,774.0,Revere Beach
