parent_station,service_hour,from_line,from_direction,to_line,to_direction,comparable_connections,mean_extra_transfer_wait_seconds,missed_scheduled_connection_rate
place-asmnl,0,Mattapan,1,Red,0,377,260.55172413793105,0.09814323607427052
place-asmnl,0,Mattapan,1,Red,1,223,3609.269058295964,0.36322869955156944
place-asmnl,0,Red,0,Mattapan,1,384,392.2447916666667,0.3802083333333333
place-asmnl,0,Red,1,Mattapan,1,234,319.1623931623932,0.12820512820512817
place-asmnl,1,Mattapan,1,Red,0,96,976.2604166666666,0.20833333333333334
place-asmnl,1,Mattapan,1,Red,1,12,1068.75,0.16666666666666666
place-asmnl,1,Red,0,Mattapan,1,135,1467.1777777777777,0.17777777777777773
place-asmnl,1,Red,1,Mattapan,1,28,68.57142857142857,0.0
place-asmnl,2,Mattapan,1,Red,0,4,126.75,0.0
place-asmnl,2,Mattapan,1,Red,1,1,0.0,1.0
place-asmnl,2,Red,0,Mattapan,1,27,388.3703703703704,0.03703703703703702
place-asmnl,3,Red,1,Mattapan,1,1,6630.0,0.0
place-asmnl,4,Red,0,Mattapan,1,1,581.0,0.0
place-asmnl,4,Red,1,Mattapan,1,9,1005.3333333333334,0.0
place-asmnl,5,Mattapan,1,Red,0,306,24.34313725490196,0.0
place-asmnl,5,Mattapan,1,Red,1,306,203.9640522875817,0.5326797385620915
place-asmnl,5,Red,0,Mattapan,1,74,211.8918918918919,0.13513513513513514
place-asmnl,5,Red,1,Mattapan,1,258,153.15891472868216,0.09689922480620154
place-asmnl,6,Mattapan,1,Red,0,417,100.06714628297362,0.09352517985611507
place-asmnl,6,Mattapan,1,Red,1,417,189.22541966426857,0.5971223021582733
place-asmnl,6,Red,0,Mattapan,1,384,108.71614583333333,0.17187499999999997
place-asmnl,6,Red,1,Mattapan,1,444,166.56981981981983,0.09459459459459457
place-asmnl,7,Mattapan,1,Red,0,599,93.30217028380635,0.13021702838063434
place-asmnl,7,Mattapan,1,Red,1,599,169.38230383973288,0.6243739565943238
place-asmnl,7,Red,0,Mattapan,1,513,103.85380116959064,0.34502923976608185
place-asmnl,7,Red,1,Mattapan,1,484,134.1590909090909,0.17148760330578505
place-asmnl,8,Mattapan,1,Red,0,639,145.74804381846636,0.09076682316118932
place-asmnl,8,Mattapan,1,Red,1,638,141.99529780564262,0.5517241379310345
place-asmnl,8,Red,0,Mattapan,1,468,125.00854700854701,0.594017094017094
place-asmnl,8,Red,1,Mattapan,1,468,135.17948717948718,0.16880341880341873
place-asmnl,9,Mattapan,1,Red,0,573,113.64223385689354,0.08900523560209421
place-asmnl,9,Mattapan,1,Red,1,572,194.9527972027972,0.541958041958042
place-asmnl,9,Red,0,Mattapan,1,506,193.7509881422925,0.48023715415019763
place-asmnl,9,Red,1,Mattapan,1,499,206.71543086172343,0.2685370741482966
place-asmnl,10,Mattapan,1,Red,0,480,101.55625,0.0708333333333333
place-asmnl,10,Mattapan,1,Red,1,480,151.43541666666667,0.475
place-asmnl,10,Red,0,Mattapan,1,480,206.08541666666667,0.575
place-asmnl,10,Red,1,Mattapan,1,420,243.22619047619048,0.24761904761904757
place-asmnl,11,Mattapan,1,Red,0,533,161.40150093808631,0.12570356472795494
place-asmnl,11,Mattapan,1,Red,1,533,144.52720450281427,0.39587242026266417
place-asmnl,11,Red,0,Mattapan,1,472,134.07627118644066,0.5529661016949152
place-asmnl,11,Red,1,Mattapan,1,432,145.75,0.2384259259259259
place-asmnl,12,Mattapan,1,Red,0,543,145.6390423572744,0.15653775322283606
place-asmnl,12,Mattapan,1,Red,1,541,167.6728280961183,0.32532347504621073
place-asmnl,12,Red,0,Mattapan,1,465,115.00860215053764,0.5978494623655914
place-asmnl,12,Red,1,Mattapan,1,430,165.4093023255814,0.4
place-asmnl,13,Mattapan,1,Red,0,477,135.40670859538784,0.14884696016771484
place-asmnl,13,Mattapan,1,Red,1,476,131.39705882352942,0.30462184873949577
place-asmnl,13,Red,0,Mattapan,1,463,117.75809935205183,0.5615550755939525
place-asmnl,13,Red,1,Mattapan,1,408,139.19117647058823,0.33088235294117646
place-asmnl,14,Mattapan,1,Red,0,534,147.47191011235955,0.15168539325842692
place-asmnl,14,Mattapan,1,Red,1,534,146.45318352059925,0.3576779026217228
place-asmnl,14,Red,0,Mattapan,1,471,120.60934182590233,0.5753715498938429
place-asmnl,14,Red,1,Mattapan,1,430,164.43023255813952,0.30930232558139537
place-asmnl,15,Mattapan,1,Red,0,647,146.94744976816074,0.1684698608964451
place-asmnl,15,Mattapan,1,Red,1,647,143.32457496136013,0.38948995363214833
place-asmnl,15,Red,0,Mattapan,1,459,107.01525054466231,0.599128540305011
place-asmnl,15,Red,1,Mattapan,1,436,127.69266055045871,0.29128440366972475
place-asmnl,16,Mattapan,1,Red,0,659,163.38998482549317,0.12443095599393017
place-asmnl,16,Mattapan,1,Red,1,659,160.2898330804249,0.3490136570561456
place-asmnl,16,Red,0,Mattapan,1,472,108.42796610169492,0.5932203389830508
place-asmnl,16,Red,1,Mattapan,1,439,138.876993166287,0.29157175398633256
