parent_station,station_name,service_hour,time_period,from_line,to_line,from_late_over_5_minutes,to_late_over_5_minutes,combined_late_exposure
place-dwnxg,Downtown Crossing,0,Early / night,Orange,Red,0.05394990366088632,0.13916256157635468,0.18560465844699447
place-dwnxg,Downtown Crossing,1,Early / night,Orange,Red,0.06878306878306878,0.15625,0.2142857142857143
place-dwnxg,Downtown Crossing,2,Early / night,Orange,Red,0.6666666666666666,0.3333333333333333,0.7777777777777777
place-dwnxg,Downtown Crossing,5,Early / night,Orange,Red,0.029239766081871343,0.04081632653061224,0.06886263277240723
place-dwnxg,Downtown Crossing,6,Early / night,Orange,Red,0.08505917159763314,0.14965197215777262,0.22198187097571354
place-dwnxg,Downtown Crossing,7,Morning peak (7-9 AM),Orange,Red,0.1222301644031451,0.1553784860557769,0.2586167125636126
place-dwnxg,Downtown Crossing,8,Morning peak (7-9 AM),Orange,Red,0.13077469793887705,0.26175687666370895,0.3583003981234656
place-dwnxg,Downtown Crossing,9,Midday (9 AM-4 PM),Orange,Red,0.13046757164404224,0.3452611218568665,0.43068331334914567
place-dwnxg,Downtown Crossing,10,Midday (9 AM-4 PM),Orange,Red,0.13901345291479822,0.36,0.4489686098654708
place-dwnxg,Downtown Crossing,11,Midday (9 AM-4 PM),Orange,Red,0.08409321175278622,0.43896713615023475,0.4861461915702251
place-dwnxg,Downtown Crossing,12,Midday (9 AM-4 PM),Orange,Red,0.07835820895522388,0.48299319727891155,0.5235049243578028
place-dwnxg,Downtown Crossing,13,Midday (9 AM-4 PM),Orange,Red,0.0774077407740774,0.40074906367041196,0.4471357248084359
place-dwnxg,Downtown Crossing,14,Midday (9 AM-4 PM),Orange,Red,0.12100259291270528,0.36181575433911883,0.43903770282012433
place-dwnxg,Downtown Crossing,15,Midday (9 AM-4 PM),Orange,Red,0.18058690744920994,0.3431818181818182,0.4617945823927766
place-dwnxg,Downtown Crossing,16,Evening peak (4-6 PM),Orange,Red,0.2009132420091324,0.35280898876404493,0.48283823303062945
place-dwnxg,Downtown Crossing,17,Evening peak (4-6 PM),Orange,Red,0.23703112529928172,0.42485207100591715,0.5611800318289359
place-dwnxg,Downtown Crossing,18,Night,Orange,Red,0.16085578446909668,0.5046620046620046,0.5843399864794476
place-dwnxg,Downtown Crossing,19,Night,Orange,Red,0.12529182879377432,0.43472906403940886,0.5055528933698797
place-dwnxg,Downtown Crossing,20,Night,Orange,Red,0.11943127962085308,0.34684684684684686,0.424853763716323
place-dwnxg,Downtown Crossing,21,Night,Orange,Red,0.10796915167095116,0.26,0.33989717223650384
place-dwnxg,Downtown Crossing,22,Night,Orange,Red,0.10195035460992907,0.2559598494353827,0.3318150066294705
place-dwnxg,Downtown Crossing,23,Night,Orange,Red,0.08414239482200647,0.20209059233449478,0.26922860074647903
place-gover,Government Center,0,Early / night,Blue,Green,0.19287833827893175,0.20350404312668463,0.35713085973429737
place-gover,Government Center,1,Early / night,Blue,Green,0.15384615384615385,0.2193158953722334,0.33942114223804365
place-gover,Government Center,5,Early / night,Blue,Green,0.0610079575596817,0.06336088154269973,0.1205033211302804
place-gover,Government Center,6,Early / night,Blue,Green,0.13182096873083998,0.12970969734403953,0.24443220811720412
place-gover,Government Center,7,Morning peak (7-9 AM),Blue,Green,0.2249718785151856,0.12930011862396204,0.32518310656007865
place-gover,Government Center,8,Morning peak (7-9 AM),Blue,Green,0.28205128205128205,0.17167630057803468,0.40530606195346075
place-gover,Government Center,9,Midday (9 AM-4 PM),Blue,Green,0.3639705882352941,0.19140625,0.48571059283088236
place-gover,Government Center,10,Midday (9 AM-4 PM),Blue,Green,0.4989247311827957,0.21420323325635104,0.6062566738682361
place-gover,Government Center,11,Midday (9 AM-4 PM),Blue,Green,0.5362318840579711,0.21213840045377197,0.6346149103553725
place-gover,Government Center,12,Midday (9 AM-4 PM),Blue,Green,0.36308805790108567,0.20374707259953162,0.49285700160742185
place-gover,Government Center,13,Midday (9 AM-4 PM),Blue,Green,0.30710659898477155,0.22776821572002295,0.4649256926181885
place-gover,Government Center,14,Midday (9 AM-4 PM),Blue,Green,0.34517045454545453,0.20546385885031304,0.47971425984374194
place-gover,Government Center,15,Midday (9 AM-4 PM),Blue,Green,0.31797235023041476,0.27348993288590606,0.5045000463922309
place-gover,Government Center,16,Evening peak (4-6 PM),Blue,Green,0.40238252812706815,0.28499156829679595,0.5726984686777012
place-gover,Government Center,17,Evening peak (4-6 PM),Blue,Green,0.4558139534883721,0.3110720562390158,0.6250950259533248
place-gover,Government Center,18,Night,Blue,Green,0.4968421052631579,0.2876179900055525,0.6415593676027938
place-gover,Government Center,19,Night,Blue,Green,0.44660194174757284,0.2892796369824163,0.6066887311456091
place-gover,Government Center,20,Night,Blue,Green,0.4028595458368377,0.19740400216333154,0.5207374613422754
place-gover,Government Center,21,Night,Blue,Green,0.3548717948717949,0.21246458923512748,0.491938693978354
place-gover,Government Center,22,Night,Blue,Green,0.28988149498632637,0.26853932584269663,0.48057623959112195
place-gover,Government Center,23,Night,Blue,Green,0.2605633802816901,0.2611241217798595,0.45364811821750173
place-haecl,Haymarket,0,Early / night,Green,Orange,0.1943900848010437,0.051899907321594066,0.23620116473722685
place-haecl,Haymarket,1,Early / night,Green,Orange,0.21774193548387097,0.04891304347826087,0.25600455820476864
place-haecl,Haymarket,2,Early / night,Green,Orange,0.05263157894736842,0.4,0.43157894736842106
place-haecl,Haymarket,5,Early / night,Green,Orange,0.06005586592178771,0.03824091778202677,0.0960001922727709
place-haecl,Haymarket,6,Early / night,Green,Orange,0.10794044665012408,0.07806691449814127,0.17758078352873896
place-haecl,Haymarket,7,Morning peak (7-9 AM),Green,Orange,0.12073027090694935,0.12215909090909091,0.228141061676839
place-haecl,Haymarket,8,Morning peak (7-9 AM),Green,Orange,0.14506880733944955,0.1259731068648266,0.25276714583455073
place-haecl,Haymarket,9,Midday (9 AM-4 PM),Green,Orange,0.1636466591166478,0.13072877535687452,0.27298210713595905
place-haecl,Haymarket,10,Midday (9 AM-4 PM),Green,Orange,0.19527649769585254,0.1299638989169675,0.2998615016054168
place-haecl,Haymarket,11,Midday (9 AM-4 PM),Green,Orange,0.1880293619424054,0.09353233830845771,0.2639748743577426
place-haecl,Haymarket,12,Midday (9 AM-4 PM),Green,Orange,0.17715617715617715,0.07575757575757576,0.23949283040192137
place-haecl,Haymarket,13,Midday (9 AM-4 PM),Green,Orange,0.2060849598163031,0.07149321266968325,0.2628444966258162
place-haecl,Haymarket,14,Midday (9 AM-4 PM),Green,Orange,0.17557681485649973,0.12447078746824725,0.2781934179183918
place-haecl,Haymarket,15,Midday (9 AM-4 PM),Green,Orange,0.23900789177001128,0.16831683168316833,0.36709567236317775
place-haecl,Haymarket,16,Evening peak (4-6 PM),Green,Orange,0.2562396006655574,0.20786092214663643,0.41083832312736523
place-haecl,Haymarket,17,Evening peak (4-6 PM),Green,Orange,0.2677946324387398,0.24096385542168675,0.4442296607667543
place-haecl,Haymarket,18,Night,Green,Orange,0.2695942190105614,0.16888193901485535,0.39294656357171753
